pitch,bars,start,duration,string,position,finger,bowing,harmonic
81,1,2,0.0625,4,1,3,2,
83,1,2.0625,0.0625,4,1,4,2,
81,1,2.125,0.125,4,1,3,2,
80,1,2.25,0.25,4,1,2,2,
81,1,2.5,0.25,4,1,3,2,
83,1,2.75,0.25,4,1,4,2,
81,2,0,0.5,4,1,3,1,
69,2,0.5,1,3,1,0,2,
73,2,1.5,1,3,1,2,1,
76,2,2.5,0.5,3,1,4,1,
76,3,0,0.5,3,1,4,2,
74,3,0.5,0.5,3,1,3,2,
74,3,1,1,3,1,3,1,
74,3,2,0.25,3,1,3,2,
73,3,2.25,0.25,3,1,2,2,
74,3,2.5,0.25,3,1,3,2,
76,3,2.75,0.25,3,1,4,2,
74,4,0,0.5,3,1,3,1,
64,4,0.5,1,2,1,1,2,
71,4,1.5,1,3,1,1,1,
74,4,2.5,0.5,3,1,3,1,
74,5,0,0.5,3,1,3,2,
73,5,0.5,0.5,3,1,2,2,
73,5,1,1,3,1,2,1,
81,5,2,0.75,4,1,3,2,
78,5,2.75,0.25,4,1,1,2,
76,6,0,0.5,3,1,4,1,
75,6,0.5,0.5,3,1,3,1,
75,6,1,0.5,3,1,3,2,
75,6,1.5,0.5,3,1,3,2,
81,6,2,0.75,4,1,3,1,
78,6,2.75,0.25,4,1,1,1,
76,7,0,0.5,3,1,4,2,
75,7,0.5,0.5,3,1,3,2,
75,7,1,0.5,3,1,3,1,
75,7,1.5,0.5,3,1,3,2,
81,7,2,0.75,4,1,3,1,
78,7,2.75,0.25,4,1,1,1,
80,8,0,0.5,4,1,2,2,
76,8,0.5,0.5,4,1,0,2,
73,8,1,0.5,3,1,2,1,
81,8,1.5,0.5,4,1,3,2,
78,8,2,0.125,4,1,1,1,
80,8,2.125,0.125,4,1,2,1,
78,8,2.25,0.125,4,1,1,1,
80,8,2.375,0.125,4,1,2,1,
78,8,2.5,0.125,4,1,1,1,
80,8,2.625,0.125,4,1,2,1,
76,8,2.75,0.125,4,1,0,1,
78,8,2.875,0.125,4,1,1,1,
76,9,0,1,3,1,4,2,
64,9,1,0.5,2,1,1,2,
81,9,2,0.25,4,1,3,2,
80,9,2.25,0.25,4,1,2,2,
81,9,2.5,0.25,4,1,3,2,
83,9,2.75,0.25,4,1,4,2,
81,10,0,0.5,4,1,3,1,
69,10,0.5,1,3,1,0,2,
73,10,1.5,1,3,1,2,1,
76,10,2.5,0.5,3,1,4,1,
