pitch,bars,start,duration,string,position,finger,bowing,harmonic
61,1,3,0.75,1,3,1,1,
63,1,3.75,0.25,1,3,2,1,
65,2,0,1,1,3,3,2,
66,2,1,0.333333,2,1,1,1,
70,2,1.333333,0.333333,2,1,3,2,
73,2,1.666667,0.333333,3,1,1,2,
80,2,2,1.5,3,4,3,1,
78,2,3.5,0.5,3,4,2,2,
78,3,0,0.75,3,4,2,1,
68,3,0.75,0.25,2,4,1,1,
68,3,1,2,2,4,1,2,
75,3,3.5,0.5,2,4,4,1,
75,4,0,0.75,2,4,4,2,
67,4,0.75,0.25,2,3,1,2,
68,4,1,0.75,2,3,1,1,
70,4,1.75,0.25,2,3,2,1,
71,4,2,1,2,3,3,2,
75,4,3.5,0.5,2,5,3,2,
75,5,0,0.75,2,5,3,1,
77,5,0.75,0.25,2,5,4,2,
73,5,1,0.75,2,4,3,1,
61,5,1.75,0.25,1,3,1,1,
70,5,2,1,2,3,2,2,
61,5,3,0.75,1,3,1,1,
63,5,3.75,0.25,1,3,2,1,
65,6,0,1,1,3,3,2,
66,6,1,0.333333,2,2,1,1,
70,6,1.333333,0.333333,2,2,3,2,
73,6,1.666667,0.333333,3,2,1,2,
82,6,2,1.5,3,5,3,1,
77,6,3.5,0.5,3,4,1,2,
80,7,0,0.75,3,4,3,1,
78,7,0.75,0.25,3,4,2,1,
68,7,1,1,2,3,1,2,
77,7,2.333333,0.333333,3,3,2,1,
80,7,2.666667,0.333333,3,3,4,2,
78,7,3,0.0625,3,3,3,1,
80,7,3.0625,0.0625,3,3,4,1,
78,7,3.125,0.125,3,3,3,1,
77,7,3.25,0.25,3,3,2,2,
78,7,3.5,0.25,3,3,3,1,
75,7,3.75,0.25,3,2,2,1,
75,8,0,0.5,3,2,1,2,
73,8,0.5,0.5,3,3,3,1,
78,8,1,0.75,2,3,2,2,
70,8,1.75,0.25,2,3,2,2,
70,8,2,0.5,2,3,2,1,
71,8,2.5,0.5,2,3,3,1,
75,8,3,0.75,2,5,3,2,
65,8,3.75,0.25,2,1,1,2,
66,9,0,2,2,1,2,1,
73,9,3,0.75,3,2,1,1,
75,9,3.75,0.25,3,3,1,1,
77,10,0,1,3,3,2,2,
78,10,1,0.333333,3,3,3,1,
82,10,1.333333,0.333333,4,3,1,2,
85,10,1.666667,0.333333,4,3,3,2,
92,10,2,1.5,4,7,3,1,
90,10,3.5,0.5,4,7,2,2,
90,11,0,0.75,4,7,2,1,
