pitch,bars,start,duration,string,position,finger,bowing,harmonic
82,1,0,0.125,4,3,2,1,
84,1,0.125,0.125,4,3,3,1,
82,1,0.25,0.25,4,3,2,1,
82,1,1,0.125,4,3,2,1,
84,1,1.125,0.125,4,3,3,1,
82,1,1.25,0.25,4,3,2,1,
82,1,2,0.125,4,3,2,2,
84,1,2.125,0.125,4,3,3,2,
82,1,2.25,0.25,4,3,2,2,
82,1,3,0.125,4,3,2,2,
84,1,3.125,0.125,4,3,3,2,
82,1,3.25,0.25,4,3,2,2,
82,2,0,0.125,4,3,2,1,
84,2,0.125,0.125,4,3,3,1,
82,2,0.25,0.25,4,3,2,1,
82,2,1,0.125,4,3,2,1,
84,2,1.125,0.125,4,3,3,1,
82,2,1.25,0.25,4,3,2,1,
82,2,2,0.125,4,3,2,2,
84,2,2.125,0.125,4,3,3,2,
82,2,2.25,0.25,4,3,2,2,
82,2,3,0.125,4,3,2,2,
84,2,3.125,0.125,4,3,3,2,
82,2,3.25,0.25,4,3,2,2,
82,3,0,0.125,4,3,2,1,
84,3,0.125,0.125,4,3,3,1,
82,3,0.25,0.25,4,3,2,1,
82,3,1,0.125,4,3,2,1,
84,3,1.125,0.125,4,3,3,1,
82,3,1.25,0.25,4,3,2,1,
82,3,2,0.125,4,3,2,2,
84,3,2.125,0.125,4,3,3,2,
82,3,2.25,0.25,4,3,2,2,
82,3,3,0.125,4,3,2,2,
84,3,3.125,0.125,4,3,3,2,
82,3,3.25,0.25,4,3,2,2,
82,4,0,0.125,4,3,2,1,
84,4,0.125,0.125,4,3,3,1,
82,4,0.25,0.25,4,3,2,1,
82,4,1,0.125,4,3,2,1,
84,4,1.125,0.125,4,3,3,1,
82,4,1.25,0.25,4,3,2,1,
82,4,2,0.125,4,3,2,2,
84,4,2.125,0.125,4,3,3,2,
82,4,2.25,0.25,4,3,2,2,
82,4,3,0.125,4,3,2,2,
84,4,3.125,0.125,4,3,3,2,
82,4,3.25,0.25,4,3,2,2,
80,5,0,0.125,4,3,1,1,
82,5,0.125,0.125,4,3,2,1,
80,5,0.25,0.25,4,3,1,1,
80,5,1,0.125,4,3,1,1,
82,5,1.125,0.125,4,3,2,1,
80,5,1.25,0.25,4,3,1,1,
80,5,2,0.125,4,3,1,2,
82,5,2.125,0.125,4,3,2,2,
80,5,2.25,0.25,4,3,1,2,
80,5,3,0.125,4,3,1,2,
82,5,3.125,0.125,4,3,2,2,
80,5,3.25,0.25,4,3,1,2,
80,6,0,0.125,4,3,1,1,
82,6,0.125,0.125,4,3,2,1,
80,6,0.25,0.25,4,3,1,1,
80,6,1,0.125,4,3,1,1,
82,6,1.125,0.125,4,3,2,1,
80,6,1.25,0.25,4,3,1,1,
80,6,2,0.125,4,3,1,2,
82,6,2.125,0.125,4,3,2,2,
80,6,2.25,0.25,4,3,1,2,
80,6,3,0.125,4,3,1,2,
82,6,3.125,0.125,4,3,2,2,
80,6,3.25,0.25,4,3,1,2,
73,7,0,0.125,3,3,1,1,
75,7,0.125,0.125,3,3,2,1,
73,7,0.25,0.25,3,3,1,1,
73,7,1,0.125,3,3,1,1,
75,7,1.125,0.125,3,3,2,1,
73,7,1.25,0.25,3,3,1,1,
73,7,2,0.125,3,3,1,2,
75,7,2.125,0.125,3,3,2,2,
73,7,2.25,0.25,3,3,1,2,
73,7,3,0.125,3,3,1,2,
75,7,3.125,0.125,3,3,2,2,
73,7,3.25,0.25,3,3,1,2,
73,8,0,0.125,3,3,1,1,
75,8,0.125,0.125,3,3,2,1,
73,8,0.25,0.25,3,3,1,1,
73,8,1,0.125,3,3,1,1,
75,8,1.125,0.125,3,3,2,1,
73,8,1.25,0.25,3,3,1,1,
73,8,2,0.125,3,3,1,2,
75,8,2.125,0.125,3,3,2,2,
73,8,2.25,0.25,3,3,1,2,
73,8,3,0.125,3,3,1,2,
75,8,3.125,0.125,3,3,2,2,
73,8,3.25,0.25,3,3,1,2,
75,9,0,0.125,3,3,2,1,
77,9,0.125,0.125,3,3,3,1,
75,9,0.25,0.25,3,3,2,1,
75,9,1,0.125,3,3,2,1,
77,9,1.125,0.125,3,3,3,1,
75,9,1.25,0.25,3,3,2,1,
75,9,2,0.125,3,3,2,2,
77,9,2.125,0.125,3,3,3,2,
75,9,2.25,0.25,3,3,2,2,
75,9,3,0.125,3,3,2,2,
77,9,3.125,0.125,3,3,3,2,
75,9,3.25,0.25,3,3,2,2,
75,10,0,0.125,3,3,2,1,
77,10,0.125,0.125,3,3,3,1,
75,10,0.25,0.25,3,3,2,1,
75,10,1,0.125,3,3,2,1,
77,10,1.125,0.125,3,3,3,1,
75,10,1.25,0.25,3,3,2,1,
75,10,2,0.125,3,3,2,2,
77,10,2.125,0.125,3,3,3,2,
75,10,2.25,0.25,3,3,2,2,
75,10,3,0.125,3,3,2,2,
77,10,3.125,0.125,3,3,3,2,
75,10,3.25,0.25,3,3,2,2,
74,11,0,0.125,3,3,1,1,
75,11,0.125,0.125,3,3,2,1,
74,11,0.25,0.25,3,3,1,1,
74,11,1,0.125,3,3,1,1,
75,11,1.125,0.125,3,3,2,1,
