pitch,bars,start,duration,string,position,finger,bowing,harmonic
64,1,3,1,2,1,1,2,
69,2,0,1,3,1,0,1,
76,2,1,1,3,3,2,1,
76,2,2,1,3,3,2,2,
76,2,3,1,3,3,2,2,
76,3,0,0.25,3,3,2,1,
77,3,0.25,0.25,3,3,3,1,
76,3,0.5,0.5,3,3,2,1,
74,3,1,0.5,3,3,1,2,
76,3,1.5,0.5,3,3,2,1,
77,3,2,2,3,3,3,2,
69,4,0,1,3,1,0,1,
76,4,1,1,3,3,2,1,
76,4,2,1,3,3,2,2,
76,4,3,1,3,3,2,2,
76,5,0,0.25,3,3,2,1,
77,5,0.25,0.25,3,3,3,1,
76,5,0.5,0.5,3,3,2,1,
74,5,1,0.5,3,3,1,2,
76,5,1.5,0.5,3,3,2,1,
77,5,2,2,3,3,3,2,
81,6,0,0.5,3,5,3,2,1
79,6,1,0.5,3,3,4,1,
77,6,1.5,0.5,3,3,3,2,
76,6,2,1,3,3,2,1,
74,6,3,1,3,3,1,2,
72,7,0,1,3,1,2,1,
71,7,1,0.5,3,1,1,2,
69,7,1.5,0.5,3,1,0,1,
71,7,2,1,3,1,1,2,
72,7,3,1,3,1,2,2,
71,8,0,0.125,3,1,1,1,
72,8,0.120833,0.125,3,1,2,1,
71,8,0.247917,0.125,3,1,1,1,
72,8,0.372917,0.125,3,1,2,1,
71,8,0.495833,0.125,3,1,1,1,
72,8,0.622917,0.125,3,1,2,1,
71,8,0.747917,0.125,3,1,1,1,
72,8,0.875,0.125,3,1,2,1,
71,8,0.995833,0.125,3,1,1,1,
72,8,1.122917,0.125,3,1,2,1,
71,8,1.247917,0.125,3,1,1,1,
72,8,1.370833,0.125,3,1,2,1,
71,8,1.497917,0.125,3,1,1,1,
72,8,1.622917,0.125,3,1,2,1,
71,8,1.75,0.125,3,1,1,1,
72,8,1.870833,0.125,3,1,2,1,
71,8,1.997917,0.125,3,1,1,1,
72,8,2.122917,0.125,3,1,2,1,
71,8,2.245833,0.125,3,1,1,1,
72,8,2.372917,0.125,3,1,2,1,
71,8,2.497917,0.125,3,1,1,1,
72,8,2.625,0.125,3,1,2,1,
71,8,2.745833,0.125,3,1,1,1,
72,8,2.872917,0.125,3,1,2,1,
71,8,2.997917,0.125,3,1,1,1,
72,8,3.120833,0.125,3,1,2,1,
71,8,3.247917,0.125,3,1,1,1,
72,8,3.372917,0.125,3,1,2,1,
69,8,3.5,0.5,3,1,0,1,
71,9,0,3,3,1,1,2,
64,9,3,1,2,1,1,2,
69,10,0,1,3,1,0,1,
76,10,1,1,3,3,2,1,
76,10,2,1,3,3,2,2,
76,10,3,1,3,3,2,2,
76,11,0,0.25,3,3,2,1,
77,11,0.25,0.25,3,3,3,1,
76,11,0.5,0.5,3,3,2,1,
74,11,1,0.5,3,3,1,2,
76,11,1.5,0.5,3,3,2,1,
77,11,2,2,3,3,3,2,
69,12,0,1,3,1,0,1,
76,12,1,1,3,3,2,1,
76,12,2,1,3,3,2,2,
76,12,3,1,3,3,2,2,
76,13,0,0.25,3,3,2,1,
77,13,0.25,0.25,3,3,3,1,
76,13,0.5,0.5,3,3,2,1,
74,13,1,0.5,3,3,1,2,
76,13,1.5,0.5,3,3,2,1,
77,13,2,2,3,3,3,2,
81,14,0,0.5,3,5,3,2,1
79,14,1,0.5,3,3,4,1,
77,14,1.5,0.5,3,3,3,2,
76,14,2,1,3,3,2,1,
74,14,3,1,3,3,1,2,
72,15,0,1,3,1,2,1,
71,15,1,0.5,3,1,1,2,
69,15,1.5,0.5,3,1,0,1,
