pitch,bars,start,duration,string,position,finger,bowing,harmonic
62,1,1,1,1,4,1,2,
64,1,2,1,1,5,1,2,
66,2,0,1.5,1,5,2,1,
69,2,1.5,0.5,1,5,4,1,
66,3,2,1.5,1,5,2,1,
69,3,0.5,0.5,1,5,4,1,
66,3,1,0.5,1,5,2,2,
69,3,1.5,0.5,1,5,4,2,
66,3,2,0.5,1,5,2,1,
69,3,2.5,0.5,1,5,4,1,
66,4,0,1,1,5,2,2,
66,5,2,2,1,4,3,1,
62,5,1,1.5,1,4,1,2,
64,5,2.5,0.5,1,5,1,2,
66,6,0,1.5,1,5,2,1,
69,6,1.5,0.5,1,5,4,1,
66,7,2,1.5,1,5,2,1,
69,7,0.5,0.5,1,5,4,1,
66,7,1,0.5,1,5,2,2,
69,7,1.5,0.5,1,5,4,2,
67,7,2,0.5,1,5,3,1,
71,7,2.5,0.5,2,5,1,1,
76,9,0,4,2,6,3,2,
76,9,1,1.5,3,3,2,1,
76,9,2.5,0.5,3,3,2,2,
79,10,0,1.5,3,3,4,1,
78,10,1.5,0.5,3,3,3,1,
76,11,2,2,3,3,2,1,
74,11,1,1,3,3,1,2,
78,11,2,1,3,3,3,2,
76,12,0,0.5,3,3,2,1,
74,12,0.5,0.5,3,3,1,1,
72,13,1,3,2,3,4,1,
71,13,1,1,2,3,3,2,
69,13,2,1,2,3,2,2,
67,14,0,0.5,1,4,4,1,
66,14,0.5,0.5,1,4,3,1,
64,14,1,0.5,1,4,2,1,
67,14,1.5,0.5,1,4,4,1,
66,14,2,0.5,1,4,3,1,
64,14,2.5,0.5,1,4,2,1,
67,15,0,0.5,1,4,4,2,
66,15,0.5,0.5,1,4,3,2,
64,15,1,0.5,1,4,2,2,
67,15,1.5,0.5,1,4,4,2,
66,15,2,0.5,1,4,3,2,
64,15,2.5,0.5,1,4,2,2,
62,16,0,0.5,1,4,1,1,
64,16,0.5,0.5,1,4,2,2,
66,17,1,2.5,1,4,3,1,
62,17,1,1,1,4,1,2,
64,17,2,1,1,5,1,2,
66,18,0,1.5,1,5,2,1,
69,18,1.5,0.5,1,5,4,1,
66,19,2,1.5,1,5,2,1,
69,19,0.5,0.5,1,5,4,1,
66,19,1,0.5,1,5,2,2,
69,19,1.5,0.5,1,5,4,2,
66,19,2,0.5,1,5,2,1,
69,19,2.5,0.5,1,5,4,1,
66,20,0,1,1,5,2,2,
66,21,2,2,1,4,3,1,
62,21,1,1.5,1,4,1,2,
64,21,2.5,0.5,1,5,1,2,
66,22,0,1.5,1,5,2,1,
69,22,1.5,0.5,1,5,4,1,
66,23,2,1.5,1,5,2,1,
69,23,0.5,0.5,1,5,4,1,
66,23,1,0.5,1,5,2,2,
69,23,1.5,0.5,1,5,4,2,
67,23,2,0.5,1,5,3,1,
71,23,2.5,0.5,2,5,1,1,
76,25,0,4,2,6,3,2,
76,25,1,1.5,3,3,2,1,
76,25,2.5,0.5,3,3,2,2,
83,26,0,1.5,3,5,4,1,
81,26,1.5,0.5,3,5,3,1,
79,27,2,1.5,3,5,2,1,
83,27,0.5,0.5,3,5,4,2,
81,27,1,0.5,3,5,3,2,
79,27,1.5,0.5,3,5,2,2,
83,27,2,0.5,3,5,4,2,
81,27,2.5,0.5,3,5,3,2,
79,28,0,0.5,3,5,2,2,
76,28,0.5,0.5,3,2,3,1,
74,28,1,0.5,3,2,2,1,
72,28,1.5,0.5,3,2,1,1,
76,28,2,0.5,3,2,3,1,
74,28,2.5,0.5,3,2,2,1,
72,29,0,0.5,3,2,1,1,
69,29,0.5,0.5,2,2,3,2,
67,29,1,0.5,2,2,2,2,
66,29,1.5,0.5,2,2,1,2,
69,29,2,0.5,2,2,3,2,
67,29,2.5,0.5,2,2,2,2,
64,30,0,0.5,1,2,4,1,
62,30,0.5,0.5,1,2,3,1,
60,30,1,0.5,1,2,2,1,
59,30,1.5,0.5,1,2,1,1,
62,30,2,0.5,1,2,3,2,
60,30,2.5,0.5,1,2,2,2,
64,31,0,0.5,2,1,1,1,
66,31,0.5,0.5,2,1,2,1,
72,31,1,0.5,2,3,4,1,
71,31,1.5,0.5,2,3,3,1,
66,31,2,0.5,1,3,4,2,
63,31,2.5,0.5,1,3,2,2,
66,32,0,0.5,1,5,2,2,
69,32,0.5,0.5,1,5,4,2,
67,33,1,2.5,1,5,3,1,
59,37,0.5,0.5,1,1,2,2,
60,37,1,0.5,1,1,3,2,
62,37,1.5,0.5,2,1,0,2,
64,37,2,0.5,2,1,1,2,
66,37,2.5,0.5,2,1,2,2,
71,38,0,0.5,3,1,1,2,
60,38,0.5,0.5,1,1,3,1,
62,38,1,0.5,2,1,0,1,
64,38,1.5,0.5,2,1,1,1,
66,38,2,0.5,2,1,2,1,
67,38,2.5,0.5,2,1,3,1,
72,39,0,0.5,3,1,2,1,
62,39,0.5,0.5,2,1,0,2,
64,39,1,0.5,2,1,1,2,
66,39,1.5,0.5,2,1,2,2,
67,39,2,0.5,2,1,3,2,
69,39,2.5,0.5,3,1,0,2,
74,40,0,0.5,3,1,3,2,
64,40,0.5,0.5,2,1,1,1,
66,40,1,0.5,2,1,2,1,
67,40,1.5,0.5,2,1,3,1,
69,40,2,0.5,3,1,0,1,
71,40,2.5,0.5,3,1,1,1,
76,41,0,0.5,3,1,4,1,
71,41,0.5,0.5,3,1,1,2,
72,41,1,0.5,3,1,2,2,
74,41,1.5,0.5,3,1,3,2,
76,41,2,0.5,4,1,0,2,
78,41,2.5,0.5,4,1,1,2,
83,42,0,3,4,3,2,1,
71,43,0.5,0.5,3,1,1,2,
72,43,1,0.5,3,1,2,2,
74,43,1.5,0.5,3,3,1,2,
76,43,2,0.5,3,3,2,2,
78,43,2.5,0.5,3,3,3,2,
83,45,0,4,3,6,3,1,
83,45,1,1.5,4,3,2,2,
85,45,2.5,0.5,4,3,3,2,
85,46,0,1.5,4,3,3,1,
83,46,1.5,0.5,4,3,2,1,
81,46,2,0.5,4,3,1,1,
80,46,2.5,0.5,3,3,4,1,
78,47,0,1.5,3,3,3,2,
76,47,1.5,0.5,3,3,2,2,
75,47,2,0.5,3,2,2,2,
73,47,2.5,0.5,3,2,1,2,
72,48,0,1.5,3,2,1,1,
74,48,1.5,0.5,3,2,2,1,
69,48,2,0.5,3,1,0,1,
70,48,2.5,0.5,3,1,1,1,
71,49,0,2,3,1,1,2,
83,49,2,1,4,3,2,2,
85,50,0,1.5,4,3,3,1,
83,50,1.5,0.5,4,3,2,1,
81,50,2,0.5,4,3,1,1,
80,50,2.5,0.5,3,3,4,1,
78,51,0,1.5,3,3,3,2,
76,51,1.5,0.5,3,3,2,2,
75,51,2,0.5,3,2,2,2,
73,51,2.5,0.5,3,2,1,2,
72,52,0,1.5,3,2,1,1,
74,52,1.5,0.5,3,2,2,1,
69,52,2,0.5,3,1,0,1,
70,52,2.5,0.5,3,1,1,1,
