pitch,bars,start,duration,string,position,finger,bowing,harmonic
78,3,0,2.5,3,3,3,2,
74,3,2.5,0.5,3,3,1,2,
69,3,3,0.333333,2,3,2,1,
74,3,3.333333,0.333333,3,3,1,1,
78,3,3.666667,0.333333,3,3,3,1,
83,4,0,2,4,3,2,2,
85,4,2,1,4,3,3,1,
86,4,3,1,4,3,4,1,
74,5,0,1.5,3,3,1,2,
76,5,1.5,0.5,3,4,1,2,
78,5,2,0.2,3,4,2,1,
79,5,2.2,0.2,3,4,3,1,
78,5,2.4,0.2,3,4,2,1,
76,5,2.6,0.2,3,4,1,1,
78,5,2.8,0.2,3,4,2,1,
81,5,3,0.5,3,4,4,2,
69,5,3.5,0.5,3,1,0,2,
71,6,0,3,3,1,1,1,
73,6,3,0.5,3,1,2,2,
74,6,3.5,0.5,3,3,1,2,
78,7,0,0.5,3,3,3,1,
76,7,0.5,0.5,3,3,2,1,
79,7,1,2,3,3,4,2,
75,7,3,0.5,3,3,1,1,
76,7,3.5,0.5,3,3,2,1,
78,8,0,0.5,3,5,1,2,
79,8,0.5,0.5,3,5,2,2,
81,8,1,0.5,3,5,3,1,
83,8,1.5,0.5,3,5,4,1,
83,8,2,1,3,5,4,2,
71,8,3,1,3,1,1,2,
73,9,0,2,3,1,2,1,
74,9,2,1,3,2,2,2,
76,9,3,0.25,3,2,3,1,
74,9,3.25,0.25,3,2,2,1,
73,9,3.5,0.25,3,2,1,1,
74,9,3.75,0.25,3,3,1,1,
76,10,0,2,3,3,2,2,
77,10,2,2,3,3,2,1,
78,11,0,2.5,3,3,3,2,
74,11,2.5,0.5,3,3,1,2,
69,11,3,0.333333,2,3,2,1,
74,11,3.333333,0.333333,3,3,1,1,
78,11,3.666667,0.333333,3,3,3,1,
83,12,0,2,4,3,2,2,
85,12,2,1,4,3,3,1,
86,12,3,1,4,3,4,2,
78,13,0,2.75,3,3,3,1,
74,13,2.75,0.25,3,3,1,2,
69,13,3,0.25,2,3,2,2,
74,13,3.25,0.25,3,3,1,2,
78,13,3.5,0.25,3,3,3,2,
81,13,3.75,0.25,4,3,1,2,
84,14,0,2,4,5,1,1,
86,14,2,1,4,5,2,2,
88,14,3,1,4,5,3,2,
90,15,0,2.5,4,5,4,1,
87,15,2.5,0.5,4,3,4,2,
83,15,3,0.333333,4,3,2,2,
78,15,3.333333,0.333333,3,3,3,2,
75,15,3.666667,0.333333,3,3,1,2,
81,16,0,0.666667,3,4,4,1,
79,16,0.666667,0.333333,3,4,3,2,
76,16,1,0.333333,3,3,2,2,
71,16,1.333333,0.333333,2,3,3,2,
67,16,1.666667,0.333333,2,3,1,2,
78,16,2,0.666667,3,3,3,1,
76,16,2.666667,0.333333,3,3,2,2,
71,16,3,0.333333,3,1,1,2,
67,16,3.333333,0.333333,2,1,3,2,
64,16,3.666667,0.333333,2,1,1,2,
74,17,0,0.666667,2,4,4,1,
69,17,0.666667,0.333333,2,1,4,2,
66,17,1,0.333333,2,1,2,2,
62,17,1.333333,0.333333,2,1,0,2,
57,17,1.666667,0.333333,1,1,1,2,
59,17,2,1,1,1,2,1,
61,17,3,0.5,1,3,1,2,
62,17,3.5,0.5,1,4,1,2,
64,18,0,2,1,4,2,1,
66,18,2,1,1,4,3,2,
67,18,3,1,1,4,4,2,
64,19,0,1,1,4,2,1,
66,19,1,1,1,4,3,2,
59,19,2,1,1,2,1,2,
64,19,3,1,1,3,3,2,
62,20,0,2,1,3,2,1,
61,20,2,2,1,3,1,2,
62,21,0,4,1,3,2,1,
72,22,0,2.5,2,3,4,2,
67,22,2.5,0.5,2,3,1,1,
69,22,3,0.5,2,3,2,2,
64,22,3.5,0.5,2,1,1,2,
67,23,0,1,2,1,3,1,
66,23,1,2,2,1,2,2,
70,23,3,0.333333,3,1,1,1,
73,23,3.333333,0.333333,3,1,2,2,
76,23,3.666667,0.333333,3,3,2,2,
76,24,0,2.5,3,3,2,1,
71,24,2.5,0.5,2,3,3,2,
73,24,3,0.5,2,3,4,2,
67,24,3.5,0.5,2,3,1,2,
71,25,0,1,2,3,3,1,
69,25,1,2,2,3,2,2,
73,25,3,0.333333,2,3,4,1,
76,25,3.333333,0.333333,3,3,2,1,
79,25,3.666667,0.333333,3,5,2,2,
79,26,0,1.5,3,5,2,1,
81,26,1.5,0.5,3,5,3,2,
83,26,2,0.5,3,5,4,1,
78,26,2.5,0.5,3,3,3,1,
74,26,3,0.5,3,3,1,2,
71,26,3.5,0.5,2,3,3,1,
76,27,0,0.75,3,3,2,2,
78,27,0.75,0.25,3,3,3,1,
76,27,1,0.2,3,3,2,2,
75,27,1.2,0.2,3,3,1,1,
76,27,1.4,0.2,3,3,2,2,
78,27,1.6,0.2,3,3,3,2,
79,27,1.8,0.2,3,3,4,2,
79,27,2,0.5,3,3,4,1,
76,27,2.5,0.5,3,3,2,1,
72,27,3,0.5,2,3,4,2,
67,27,3.5,0.5,2,3,1,1,
70,28,0,2,2,4,2,2,
69,28,2,1,2,3,2,1,
67,28,3,1,2,3,1,1,
81,29,0,1,3,4,4,2,1
79,29,1,0.5,3,3,4,1,
77,29,1.5,0.5,3,3,3,1,
76,29,2,1,3,2,3,2,
74,29,3,0.5,3,2,2,2,
72,29,3.5,0.5,3,2,1,2,
86,30,0,1.5,4,3,4,1,
84,30,1.5,0.5,4,3,3,2,
81,30,2,1.5,4,3,1,2,
84,30,3.5,0.5,4,5,1,1,
88,31,0,1.5,4,5,3,1,
86,31,1.5,0.5,4,5,2,2,
84,31,2,1,4,5,1,2,
81,31,3,0.5,4,3,1,1,
84,31,3.5,0.5,4,5,1,2,
89,32,0,1.5,4,6,3,1,
88,32,1.5,0.5,4,6,2,2,
91,32,2,0.5,4,6,4,1,
89,32,2.5,0.5,4,6,3,2,
84,32,3,0.5,4,3,3,1,
80,32,3.5,0.5,4,3,1,2,
77,33,0,0.5,3,3,3,1,
76,33,0.5,0.5,3,3,2,2,
79,33,1,0.5,3,5,2,2,
77,33,1.5,1,3,5,1,1,
72,33,2.5,0.5,2,5,2,2,
68,33,3,0.5,1,5,4,1,
65,33,3.5,0.5,1,5,2,2,
65,34,0,0.875,1,5,2,1,
64,34,0.875,0.125,1,5,1,1,
64,34,1,1.5,1,5,1,2,
65,34,2.5,1,1,5,2,1,
65,34,3.5,0.5,1,5,2,2,
65,35,0,0.875,1,5,2,1,
64,35,0.875,0.125,1,5,1,1,
64,35,1,1.5,1,5,1,2,
65,35,2.5,1,1,5,2,1,
65,35,3.5,0.5,1,4,3,2,
65,36,0,0.875,1,4,3,1,
64,36,0.875,0.125,1,4,2,1,
64,36,1,1.5,1,4,2,2,
67,36,2.5,1,2,3,1,1,
70,36,3.5,0.5,2,3,3,2,
70,37,0,0.75,2,3,3,1,
67,37,0.75,0.25,2,1,3,1,
64,37,1,0.25,2,1,1,2,
67,37,1.25,0.25,2,1,3,2,
70,37,1.5,0.25,3,1,1,1,
73,37,1.75,0.25,3,1,2,2,
76,37,2,0.5,3,4,1,2,
77,37,2.5,0.5,3,4,2,1,
78,37,3,0.5,3,4,2,2,
79,37,3.5,0.5,3,4,3,2,
79,38,0,0.5,3,4,3,1,
78,38,0.5,0.5,3,4,3,1,
77,38,1,0.5,3,4,2,2,
76,38,1.5,0.5,3,4,1,1,
79,38,2,0.5,3,5,2,2,
81,38,2.5,0.5,3,5,3,1,
82,38,3,0.5,3,5,3,2,
83,38,3.5,0.5,3,5,4,2,
83,39,0,1.5,3,5,4,1,
79,39,1.5,1,3,5,2,1,
76,39,2.5,1,3,3,2,2,
73,39,3.5,0.5,3,2,1,1,
78,40,0,2.5,3,3,3,2,
74,40,2.5,0.5,3,3,1,2,
69,40,3,0.333333,2,3,2,1,
74,40,3.333333,0.333333,3,3,1,1,
78,40,3.666667,0.333333,3,3,3,1,
83,41,0,2,4,3,2,2,
85,41,2,1,4,3,3,1,
86,41,3,1,4,3,4,1,
74,42,0,1.5,3,3,1,2,
76,42,1.5,0.5,3,4,1,2,
78,42,2,0.2,3,4,2,1,
79,42,2.2,0.2,3,4,3,1,
78,42,2.4,0.2,3,4,2,1,
76,42,2.6,0.2,3,4,1,1,
78,42,2.8,0.2,3,4,2,1,
81,42,3,0.5,3,4,4,2,
69,42,3.5,0.5,3,1,0,2,
71,43,0,3,3,1,1,1,
73,43,3,0.5,3,1,2,2,
74,43,3.5,0.5,3,3,1,2,
78,44,0,0.5,3,3,3,1,
76,44,0.5,0.5,3,3,2,1,
79,44,1,2,3,3,4,2,
75,44,3,0.5,3,3,1,1,
76,44,3.5,0.5,3,3,2,1,
78,45,0,0.5,3,5,1,2,
79,45,0.5,0.5,3,5,2,1,
81,45,1,0.5,3,5,3,2,
83,45,1.5,0.5,3,5,4,2,
83,45,2,1,3,5,4,1,
71,45,3,1,3,1,1,1,
73,46,0,2,3,1,2,2,
74,46,2,1,3,2,2,1,
76,46,3,0.25,3,2,3,2,
74,46,3.25,0.25,3,2,2,2,
73,46,3.5,0.25,3,2,1,2,
74,46,3.75,0.25,3,3,1,2,
76,47,0,2,3,3,2,1,
77,47,2,2,3,3,2,2,
78,48,0,2.5,3,3,3,1,
74,48,2.5,0.5,3,3,1,1,
69,48,3,0.333333,2,3,2,2,
74,48,3.333333,0.333333,3,3,1,2,
