pitch,bars,start,duration,string,position,finger,bowing,harmonic
79,1,2,1,4,1,2,2,
81,2,0,0.5,4,1,3,1,
79,2,0.5,0.5,4,1,2,1,
78,2,1,0.5,4,1,1,2,
76,2,1.5,0.5,4,1,0,1,
83,2,2,1,4,3,2,2,
83,3,0,1,4,3,2,1,
78,3,1,1,3,3,3,1,
79,3,2,1,3,3,4,2,
78,4,0,1,3,3,3,1,
76,4,1,0.125,3,3,2,1,
78,4,1.122917,0.125,3,3,3,1,
76,4,1.25,0.125,3,3,2,1,
78,4,1.372917,0.125,3,3,3,1,
76,4,1.5,0.125,3,3,2,1,
78,4,1.622917,0.125,3,3,3,1,
76,4,1.75,0.125,3,3,2,1,
78,4,1.872917,0.125,3,3,3,1,
76,4,2,0.125,3,3,2,1,
78,4,2.122917,0.125,3,3,3,1,
76,4,2.25,0.125,3,3,2,1,
78,4,2.372917,0.125,3,3,3,1,
76,4,2.5,0.125,3,3,2,1,
78,4,2.622917,0.125,3,3,3,1,
75,4,2.75,0.125,3,3,1,1,
76,4,2.872917,0.125,3,3,3,1,
75,5,0,1,3,3,1,2,
76,5,2,1,3,3,2,2,
74,6,0,0.5,3,2,2,1,
72,6,0.5,0.5,3,2,1,1,
84,6,1,1,4,2,4,2,
83,7,2,2,4,2,3,1,
81,7,1,1,4,2,2,1,
79,7,2,1,4,2,1,2,
79,8,0,0.5,4,2,1,2,
78,8,0.5,0.5,4,1,1,1,
83,8,1,0.5,4,1,4,1,
81,8,1.5,0.5,4,1,3,1,
79,8,2,0.5,4,1,2,1,
78,8,2.5,0.5,4,1,1,1,
76,9,0,1,3,1,4,2,
75,9,1,1,3,1,3,2,
78,9,2,1,4,1,1,2,
81,10,0,0.5,4,1,3,1,
79,10,0.5,0.5,4,1,2,1,
78,10,1,0.5,4,1,1,2,
76,10,1.5,0.5,4,1,0,1,
83,10,2,1,4,3,2,2,
83,11,0,1,4,3,2,1,
78,11,1,1,3,3,3,1,
79,11,2,1,3,3,4,2,
78,12,0,1,3,3,3,1,
76,12,1,0.125,3,3,2,1,
78,12,1.122917,0.125,3,3,3,1,
76,12,1.25,0.125,3,3,2,1,
78,12,1.372917,0.125,3,3,3,1,
76,12,1.5,0.125,3,3,2,1,
78,12,1.622917,0.125,3,3,3,1,
76,12,1.75,0.125,3,3,2,1,
78,12,1.872917,0.125,3,3,3,1,
76,12,2,0.125,3,3,2,1,
78,12,2.122917,0.125,3,3,3,1,
76,12,2.25,0.125,3,3,2,1,
78,12,2.372917,0.125,3,3,3,1,
76,12,2.5,0.125,3,3,2,1,
78,12,2.622917,0.125,3,3,3,1,
75,12,2.75,0.125,3,3,1,1,
76,12,2.872917,0.125,3,3,3,1,
75,13,0,1,3,3,1,2,
76,13,2,1,3,3,2,2,
74,14,0,0.5,3,2,2,1,
72,14,0.5,0.5,3,2,1,1,
84,14,1,1,4,2,4,2,
83,15,2,2,4,2,3,1,
81,15,1,1,4,2,2,1,
79,15,2,1,4,2,1,2,
78,16,0,0.5,4,1,1,1,
81,16,0.5,0.5,4,1,3,1,
79,16,1,0.5,4,1,2,2,
83,16,1.5,0.5,4,1,4,2,
75,16,2,0.5,3,3,1,1,
78,16,2.5,0.5,3,3,3,1,
76,17,0,1,3,3,2,2,
71,18,0.5,0.5,2,3,3,1,
69,18,1,0.5,2,3,2,1,
67,18,1.5,0.5,2,3,1,1,
66,18,2,0.5,2,2,1,1,
67,18,2.5,0.5,2,2,2,1,
69,19,0.5,0.5,2,3,2,2,
72,19,1,0.5,2,3,4,2,
69,19,1.5,0.5,2,3,2,2,
67,19,2,0.5,2,3,1,2,
66,19,2.5,0.5,2,2,1,2,
66,20,0.5,0.5,2,2,1,1,
62,20,1,0.5,2,2,0,1,
69,20,1.5,0.5,2,2,3,1,
66,20,2,0.5,2,2,1,1,
69,20,2.5,0.5,2,2,3,1,
66,21,0.5,0.5,2,2,1,2,
67,21,1,0.5,2,3,1,2,
71,21,1.5,0.5,2,3,3,2,
72,21,2,0.5,2,3,4,2,
69,21,2.5,0.5,2,3,2,2,
67,22,0,1,2,3,1,1,
74,22,2,1,3,3,1,1,
75,23,0,0.5,3,3,1,2,
76,23,0.5,0.5,3,3,2,2,
78,23,1,0.5,3,3,3,2,
76,23,1.5,0.5,3,3,2,2,
74,23,2,0.5,3,1,3,2,
72,23,2.5,0.5,3,1,2,2,
71,24,0,1,3,1,1,1,
69,24,1,1,3,1,0,1,
76,24,2,0.5,3,1,4,2,
72,24,2.5,0.5,3,1,2,2,
71,25,0,1,3,1,1,1,
69,25,1,1,3,1,0,1,
74,25,2,1,3,1,3,2,
73,26,0,0.5,3,1,2,1,
74,26,0.5,0.5,3,1,3,1,
76,26,1,0.5,3,1,4,1,
74,26,1.5,0.5,3,1,3,1,
74,26,2,1,3,1,3,2,
83,27,0,1,3,1,4,1,
74,27,1,1,3,1,3,1,
74,27,2,1,3,1,3,2,
71,28,0,0.5,3,1,1,1,
72,28,0.5,0.5,3,1,2,1,
74,28,1,0.5,3,1,3,1,
72,28,1.5,0.5,3,1,2,1,
72,28,2,1,3,1,2,2,
81,29,0,1,3,1,3,1,
72,29,1,1,3,1,2,1,
72,29,2,1,3,1,2,2,
71,30,0,1,3,1,1,2,
71,30,1,1,3,1,1,2,
72,30,2,0.125,3,1,2,1,
74,30,2.122917,0.125,3,1,3,1,
72,30,2.247917,0.125,3,1,2,1,
74,30,2.375,0.125,3,1,3,1,
72,30,2.497917,0.125,3,1,2,1,
74,30,2.622917,0.125,3,1,3,1,
71,30,2.75,0.125,3,1,1,1,
72,30,2.875,0.125,3,1,2,1,
74,31,0,1,3,1,3,2,
75,31,2,1,3,3,1,1,
76,32,0,1,3,3,2,1,
76,32,1,1,3,4,1,2,
78,32,2,0.125,3,4,2,1,
79,32,2.122917,0.125,3,4,3,1,
78,32,2.247917,0.125,3,4,2,1,
79,32,2.375,0.125,3,4,3,1,
78,32,2.497917,0.125,3,4,2,1,
79,32,2.622917,0.125,3,4,3,1,
76,32,2.75,0.125,3,4,1,1,
78,32,2.875,0.125,3,4,2,1,
79,33,0,1,3,4,3,2,
80,33,2,1,4,1,2,1,
81,34,0,1,4,1,3,1,
81,34,1,1,4,3,1,2,
83,34,2,0.125,4,3,2,1,
84,34,2.122917,0.125,4,3,3,1,
