pitch,bars,start,duration,string,position,finger,bowing,harmonic
57,1,5,1,1,1,1,2,
66,2,0,2,1,3,4,1,
66,2,2,1,1,5,2,2,
66,2,3,1,1,5,2,1,
67,2,4,1,1,5,3,2,
69,2,5,1,1,5,4,2,
69,3,0,3,1,5,4,1,
61,3,3,2,1,1,3,2,
57,3,5,1,1,1,1,1,
64,4,0,2,1,4,2,1,
64,4,2,1,1,4,2,2,
64,4,3,1,1,4,2,1,
66,4,4,1,1,4,3,2,
67,4,5,1,1,4,4,2,
66,5,0,3,1,4,3,1,
66,6,0,1,1,5,2,2,
66,6,1,1,1,5,2,1,
66,6,2,1,1,5,2,2,
66,6,3,1,1,5,2,1,
67,6,4,1,1,5,3,2,
69,6,5,1,1,5,4,2,
69,7,0,3,1,5,4,1,
59,7,3,2,1,1,2,2,
59,7,5,1,1,2,1,1,
64,8,0,1,1,2,4,1,
59,8,1,1,1,2,1,1,
61,8,2,1,1,3,1,1,
62,8,3,2.5,1,3,2,2,
61,8,5.5,0.5,1,3,1,2,
61,9,0,3,1,3,1,1,
69,9,5,1,1,5,4,2,
69,10,0,1,1,5,4,1,
64,10,1,1,1,5,1,1,
64,10,2,1,1,5,1,2,
67,10,3,0.125,1,5,3,1,
66,10,3.104167,0.916667,1,5,2,1,
64,10,4,1,1,5,1,1,
66,10,5,1,1,6,1,1,
67,11,0,3,1,6,2,2,
71,11,3,2,1,6,4,1,
64,11,5,1,1,5,1,2,
69,12,0,2,1,5,4,1,
64,12,2,1,1,5,1,2,
67,12,3,0.125,1,5,3,2,
66,12,3.104167,0.916667,1,5,2,2,
64,12,4,1,1,5,1,1,
66,12,5,1,1,5,2,2,
67,13,0,3,1,6,2,1,
67,13,5,1,1,6,2,2,
67,14,0,2,1,6,2,1,
67,14,2,1,1,6,2,2,
71,14,3,1,1,6,4,2,
69,14,4,1,1,6,3,1,
67,14,5,1,1,6,2,2,
66,15,0,2,1,5,2,1,
69,15,2,0.125,1,5,4,1,
67,15,2.104167,0.916667,1,5,3,1,
66,15,3,2,1,5,2,2,
66,15,5,1,1,5,2,2,
66,16,0,2,1,5,2,1,
66,16,2,1,1,5,2,1,
69,16,3,1,1,5,4,2,
67,16,4,1,1,5,3,2,
66,16,5,1,1,5,2,2,
64,17,0,3,1,3,3,1,
57,17,5,1,1,1,1,2,
66,18,0,2,1,3,4,1,
66,18,2,1,1,5,2,2,
66,18,3,1,1,5,2,1,
67,18,4,1,1,5,3,2,
69,18,5,1,1,5,4,2,
69,19,0,6,1,5,4,1,
69,20,0,3,1,5,4,2,
61,20,3,2,1,3,1,1,
63,20,5,1,1,4,1,2,
64,21,0,2,1,4,2,1,
64,21,2,1,1,4,2,2,
67,21,3,2,1,4,4,1,
66,21,5,1,1,3,4,2,
62,22,0,3,1,3,2,1,
77,26,5,1,3,5,1,2,
86,27,0,2,4,5,2,1,
86,27,2,1,4,5,2,2,
86,27,3,1,4,5,2,1,
87,27,4,1,4,5,3,1,
89,27,5,1,4,5,4,1,
89,28,0,3,4,5,4,2,
81,28,3,2,4,1,3,1,
77,28,5,1,4,1,1,2,
