pitch,bars,start,duration,string,position,finger,bowing,harmonic
57,1,0,0.25,1,1,1,1,
81,1,0.5,0.5,4,1,3,1,
83,1,1,0.5,4,1,4,2,
59,1,1.5,0.5,1,1,2,1,
61,1,2,0.5,1,3,1,1,
85,1,2.5,0.5,4,3,3,1,
85,2,0,0.104167,4,3,3,2,
88,2,0.10625,0.145833,4,5,3,2,1
86,2,0.5,0.5,4,3,4,2,
86,2,1,0.104167,4,3,4,1,
81,2,1.10625,1.395833,4,3,1,1,
82,2,2.5,0.5,4,3,1,1,
82,3,0,0.104167,4,3,1,2,
85,3,0.10625,0.104167,4,3,3,2,
83,3,0.214583,0.291667,4,3,2,2,
78,3,0.5,0.25,4,1,1,1,
81,3,0.75,0.25,4,1,3,2,
79,3,1,0.104167,4,1,2,1,
81,3,1.10625,0.104167,4,1,3,1,
79,3,1.214583,0.291667,4,1,2,1,
71,3,1.5,0.25,3,1,1,2,
74,3,1.75,0.25,3,1,3,1,
73,3,2,0.104167,3,1,2,2,
74,3,2.10625,0.104167,3,1,3,2,
73,3,2.214583,0.291667,3,1,2,2,
72,3,2.5,0.25,3,1,1,1,
73,3,2.75,0.25,3,1,2,2,
73,4,0,0.104167,3,1,2,1,
83,4,0.10625,0.145833,4,1,4,1,
81,4,0.25,0.25,4,1,3,1,
74,4,0.5,0.25,3,3,1,2,
76,4,0.75,0.25,3,3,2,1,
78,4,1,1.5,3,3,3,2,
71,4,2.5,0.166667,3,1,1,2,
73,4,2.666667,0.166667,3,1,2,2,
71,4,2.833333,0.166667,3,1,1,2,
69,5,0,0.5,3,1,0,2,
57,5,0.5,0.25,1,1,1,1,
81,5,0.75,0.25,4,1,3,2,
83,5,1,0.25,4,1,4,1,
59,5,1.25,0.25,1,1,2,2,
61,5,1.5,0.25,1,3,1,1,
85,5,1.75,0.25,4,3,3,2,
86,5,2,0.25,4,3,4,1,
62,5,2.25,0.25,1,3,2,2,
64,5,2.5,0.25,1,5,1,1,
88,5,2.75,0.25,4,5,3,2,
89,6,0,0.25,4,5,4,1,
86,6,0.25,0.25,4,5,2,1,
83,6,0.5,0.25,4,1,4,2,
80,6,0.75,0.25,4,1,2,1,
77,6,1,0.25,4,1,1,2,
74,6,1.25,0.25,3,1,3,1,
71,6,1.5,0.25,3,1,1,2,
68,6,1.75,0.25,2,1,4,1,
65,6,2,0.125,2,1,2,2,
68,6,2.125,0.125,2,1,3,2,
65,6,2.25,0.125,2,1,2,2,
68,6,2.375,0.125,2,1,3,2,
64,6,2.5,0.25,2,1,1,2,
62,6,2.75,0.25,2,1,0,1,
62,7,0,0.104167,2,1,0,2,
93,7,0.10625,0.145833,3,12,3,2,1
93,7,0.5,1,3,12,3,1,1
76,7,1.5,0.25,4,1,0,2,
78,7,1.75,0.25,4,1,1,1,
81,7,2,0.25,4,1,3,2,
79,7,2.25,0.25,4,1,2,2,
71,7,2.5,0.25,3,1,1,2,
73,7,2.75,0.25,3,1,2,1,
76,8,0,0.25,3,3,2,2,
75,8,0.25,0.25,3,3,1,2,
78,8,0.5,0.25,3,3,3,2,
76,8,0.875,0.125,3,3,2,2,
76,8,1,1,3,3,2,1,
74,8,2,0.5,3,3,1,1,
57,9,0,0.25,1,1,1,1,
81,9,0.5,0.5,4,1,3,1,
83,9,1,0.5,4,1,4,2,
59,9,1.5,0.5,1,1,2,1,
61,9,2,0.5,1,3,1,1,
85,9,2.5,0.5,4,3,3,1,
85,10,0,0.104167,4,3,3,2,
88,10,0.10625,0.145833,4,5,3,2,1
86,10,0.5,0.5,4,3,4,2,
