pitch,bars,start,duration,string,position,finger,bowing,harmonic
63,1,1,1,2,1,1,2,
65,1,2,1,2,1,2,2,
67,2,0,0.5,2,1,3,2,
67,2,1,1,2,3,1,1,
70,2,2,1,2,3,3,1,
68,3,0,0.5,2,3,2,1,
68,3,1,0.5,2,3,2,2,
70,3,1.5,0.5,2,3,3,2,
68,3,2,0.5,2,3,2,2,
67,3,2.5,0.5,2,2,2,2,
65,4,0,0.5,2,2,1,2,
65,4,1,0.5,2,2,1,1,
67,4,1.5,0.5,2,2,2,1,
68,4,2,0.5,2,2,3,1,
69,4,2.5,0.5,3,1,0,1,
70,5,0,2,3,1,1,2,
72,5,2,0.5,3,1,2,1,
74,5,2.5,0.5,3,1,3,2,
75,6,0,2,3,3,2,1,
77,6,2,0.5,3,3,3,1,
75,6,2.5,0.5,3,3,2,1,
74,7,0,1,3,3,1,2,
84,7,1,1,4,3,3,2,
74,7,2,1,3,3,1,2,
74,8,0,1,3,3,1,1,
84,8,1,1,4,3,3,1,
74,8,2,1,3,3,1,1,
75,9,0,0.5,3,3,2,1,
63,9,1,1,2,1,1,2,
65,9,2,1,2,1,2,2,
67,10,0,0.5,2,1,3,2,
67,10,1,1,2,3,1,1,
70,10,2,1,2,3,3,1,
68,11,0,0.5,2,3,2,1,
68,11,1,0.5,2,3,2,2,
70,11,1.5,0.5,2,3,3,2,
68,11,2,0.5,2,3,2,2,
67,11,2.5,0.5,2,2,2,2,
65,12,0,0.5,2,2,1,2,
65,12,1,0.5,2,2,1,1,
67,12,1.5,0.5,2,2,2,1,
68,12,2,0.5,2,2,3,1,
69,12,2.5,0.5,3,1,0,1,
70,13,0,2,3,1,1,2,
72,13,2,0.5,3,1,2,1,
74,13,2.5,0.5,3,1,3,2,
75,14,0,2,3,3,2,1,
77,14,2,0.5,3,3,3,1,
75,14,2.5,0.5,3,3,2,1,
74,15,0,1,3,3,1,2,
84,15,1,1,4,3,3,2,
74,15,2,1,3,3,1,2,
74,16,0,1,3,3,1,1,
84,16,1,1,4,3,3,1,
74,16,2,1,3,3,1,1,
75,17,0,0.5,3,3,2,2,
