pitch,bars,start,duration,string,position,finger,bowing,harmonic
71,1,1.5,0.5,2,3,3,1,
74,1,2,0.5,2,5,3,1,1
71,1,2.5,0.5,2,3,3,1,
71,2,0,0.5,2,3,3,2,
69,2,0.5,0.5,2,3,2,2,
69,2,1,0.5,2,3,2,1,
67,2,1.5,0.5,2,3,1,1,
67,2,2,0.5,2,3,1,2,
64,2,2.5,0.5,1,3,3,2,
67,3,0,1.5,1,5,3,1,1
67,3,1.5,0.5,2,3,1,2,
71,3,2,0.5,2,3,3,2,
67,3,2.5,0.5,2,3,1,2,
67,4,0,0.5,2,3,1,1,
64,4,0.5,0.5,1,3,3,1,
64,4,1,0.5,1,3,3,2,
62,4,1.5,0.5,1,3,2,2,
62,4,2,0.5,1,3,2,1,
64,4,2.5,0.5,1,5,1,1,
64,5,0,1.5,1,5,1,2,
64,5,1.5,0.5,1,5,1,1,
67,5,2,0.5,1,5,3,1,
69,5,2.5,0.5,1,5,4,1,
64,6,0,1.5,1,3,3,1,
67,6,1.5,0.5,2,3,1,2,
69,6,2,0.5,2,3,2,2,
67,6,2.5,0.5,2,3,1,2,
71,7,0,3,2,3,3,1,
83,8,1.5,0.5,4,3,2,1,
86,8,2,0.5,4,3,4,1,
83,8,2.5,0.5,4,3,2,1,
83,9,0,0.5,4,3,2,2,
81,9,0.5,0.5,4,3,1,2,
81,9,1,0.5,4,3,1,1,
79,9,1.5,0.5,3,3,4,1,
79,9,2,0.5,3,3,4,2,
76,9,2.5,0.5,3,3,2,2,
79,10,0,1.5,3,5,2,1,
79,10,1.5,0.5,3,5,2,2,
83,10,2,0.5,3,5,4,2,
79,10,2.5,0.5,3,5,2,2,
79,11,0,0.5,3,5,2,1,
76,11,0.5,0.5,3,3,2,1,
76,11,1,0.5,3,3,2,2,
74,11,1.5,0.5,3,3,1,2,
74,11,2,0.5,3,3,1,1,
76,11,2.5,0.5,3,3,2,1,
76,12,0,1.5,3,3,2,2,
76,12,1.5,0.5,3,3,2,1,
79,12,2,0.5,3,3,4,1,
81,12,2.5,0.5,3,4,4,1,1
76,13,0,1.5,3,3,2,1,
79,13,1.5,0.5,3,5,2,2,
81,13,2,0.5,3,5,3,2,
79,13,2.5,0.5,3,5,2,2,
83,14,0,3,3,5,4,1,
74,15,0,2.25,3,1,3,1,
73,15,2.25,0.25,3,1,3,1,
72,15,2.5,0.25,3,1,2,1,
71,15,2.75,0.25,3,1,1,1,
74,16,0,2.25,3,1,3,2,
72,16,2.25,0.25,3,1,2,2,
71,16,2.5,0.25,3,1,2,2,
70,16,2.75,0.25,3,1,1,2,
74,17,0,2.5,3,1,3,1,
73,17,2.5,0.25,3,1,3,1,
72,17,2.75,0.25,3,1,2,1,
71,18,0,1,3,1,1,1,
71,19,0,2.25,2,3,3,1,
69,19,2.25,0.25,2,3,2,1,
68,19,2.5,0.25,2,3,2,1,
67,19,2.75,0.25,2,3,1,1,
70,20,0,2.25,2,3,3,2,
69,20,2.25,0.25,2,3,3,2,
68,20,2.5,0.25,2,3,2,2,
67,20,2.75,0.25,2,3,1,2,
71,21,0,2.5,2,3,3,1,
69,21,2.5,0.25,2,3,2,1,
68,21,2.75,0.25,2,3,1,1,
67,22,0,1,2,3,1,1,
86,23,0,2.25,4,3,4,1,
85,23,2.25,0.25,4,3,3,1,
84,23,2.5,0.25,4,3,2,1,
83,23,2.75,0.25,4,3,1,1,
86,24,0,2.25,4,4,3,2,
84,24,2.25,0.25,4,4,2,2,
83,24,2.5,0.25,4,3,2,2,
82,24,2.75,0.25,4,3,1,2,
86,25,0,2.5,4,4,3,1,
85,25,2.5,0.25,4,4,2,1,
84,25,2.75,0.25,4,4,2,1,
83,26,0,1,4,4,1,1,
83,27,0,2.25,4,1,4,1,
81,27,2.25,0.25,4,1,3,1,
80,27,2.5,0.25,4,1,2,1,
79,27,2.75,0.25,4,1,1,1,
82,28,0,2.25,4,2,3,2,
81,28,2.25,0.25,4,1,3,2,
80,28,2.5,0.25,4,1,2,2,
79,28,2.75,0.25,4,1,1,2,
83,29,0,2.5,4,2,3,1,
81,29,2.5,0.25,4,2,2,1,
80,29,2.75,0.25,4,2,2,1,
79,30,0,1,4,1,2,1,
78,31,0,1.25,4,1,1,1,
80,31,1.25,0.25,4,1,2,2,
81,31,1.5,0.25,4,3,1,2,
83,31,1.75,0.25,4,3,2,2,
84,31,2,0.25,4,5,1,2,
86,31,2.25,0.25,4,5,2,2,
88,31,2.5,0.25,4,5,3,2,
86,31,2.75,0.25,4,5,2,2,
88,32,0,1.25,4,5,3,1,
86,32,1.25,0.25,4,3,4,2,
84,32,1.5,0.25,4,3,3,2,
83,32,1.75,0.25,4,3,2,2,
81,32,2,0.25,4,3,1,2,
83,32,2.25,0.25,4,3,2,2,
84,32,2.5,0.25,4,5,1,2,
86,32,2.75,0.25,4,5,2,2,
88,33,0,3,4,5,3,1,
78,35,0,1.25,3,3,3,1,
79,35,1.25,0.25,3,3,4,1,
81,35,1.5,0.25,4,3,1,1,
83,35,1.75,0.25,4,3,2,1,
84,35,2,0.25,4,5,1,1,
86,35,2.25,0.25,4,5,2,1,
87,35,2.5,0.25,4,5,3,1,
86,35,2.75,0.25,4,5,2,1,
87,36,0,1.25,4,5,3,2,
86,36,1.25,0.25,4,3,4,2,
84,36,1.5,0.25,4,3,3,2,
83,36,1.75,0.25,4,3,2,2,
81,36,2,0.25,4,3,1,2,
83,36,2.25,0.25,4,3,2,2,
