pitch,bars,start,duration,string,position,finger,bowing,harmonic
79,1,0.5,0.5,3,3,4,1,
77,1,1,0.5,3,3,3,1,
75,1,1.5,0.5,3,3,2,1,
74,1,2,0.5,3,2,2,1,
75,1,2.5,0.5,3,2,3,1,
77,2,0,0.5,3,2,4,2,
72,2,0.5,0.5,3,2,1,2,
77,3,1,2.5,3,3,3,1,
75,3,0.5,0.5,3,3,2,2,
74,3,1,0.5,3,2,2,2,
72,3,1.5,0.5,3,2,1,2,
74,3,2,0.5,3,2,2,2,
75,3,2.5,0.5,3,2,3,2,
75,4,0,0.5,3,2,3,1,
71,4,0.5,0.5,3,1,1,1,
75,5,1,2.5,3,4,1,2,
70,5,0.5,0.5,2,3,3,1,
72,5,1,0.5,2,3,4,1,
70,5,1.5,0.5,2,3,3,1,
68,5,2,0.5,2,3,2,1,
67,5,2.5,0.5,2,3,1,1,
72,6,0,0.5,2,3,4,2,
64,6,0.5,0.5,2,1,1,2,
65,7,1,2.5,2,1,2,1,
63,7,0.5,0.5,1,3,3,2,
65,7,1,0.5,1,3,4,2,
63,7,1.5,0.5,1,3,3,2,
62,7,2,0.5,1,3,2,2,
60,7,2.5,0.5,1,3,1,2,
59,8,0,0.5,1,2,1,1,
65,8,0.5,0.5,1,3,4,2,
58,9,1,2.25,1,2,1,1,
60,9,0.25,0.25,1,2,2,1,
62,9,0.5,0.25,2,1,0,2,
63,9,0.75,0.25,2,1,1,1,
65,9,1,0.25,2,1,2,2,
67,9,1.25,0.25,2,1,3,1,
68,9,1.5,0.25,2,1,4,2,
70,9,1.75,0.25,3,1,1,1,
72,9,2,0.166667,3,1,2,2,
74,9,2.166667,0.166667,3,3,1,2,
75,9,2.333333,0.166667,3,3,2,2,
75,9,2.5,0.166667,3,3,2,2,
77,9,2.666667,0.166667,3,3,3,2,
78,9,2.833333,0.166667,3,3,3,2,
79,10,0,0.5,3,3,4,2,
79,10,0.5,0.5,3,3,4,1,
77,10,1,0.5,3,3,3,1,
75,10,1.5,0.5,3,3,2,1,
74,10,2,0.5,3,2,2,1,
75,10,2.5,0.5,3,2,3,1,
77,11,0,0.5,3,2,4,2,
72,11,0.5,0.5,3,2,1,2,
77,12,1,2.5,3,3,3,1,
75,12,0.5,0.5,3,3,2,2,
74,12,1,0.5,3,2,2,2,
72,12,1.5,0.5,3,2,1,2,
74,12,2,0.5,3,2,2,2,
75,12,2.5,0.5,3,2,3,2,
75,13,0,0.5,3,2,3,1,
71,13,0.5,0.5,3,1,1,1,
75,14,1,2.5,3,4,1,2,
74,14,0.5,0.5,3,3,1,1,
72,14,1,0.5,2,3,4,1,
70,14,1.5,0.5,2,3,3,1,
68,14,2,0.5,2,3,2,1,
67,14,2.5,0.5,2,3,1,1,
74,15,0,0.5,2,4,4,2,1
66,15,0.5,0.5,2,2,1,2,
67,16,1,2.5,2,2,2,1,
63,16,0.5,0.5,1,2,4,2,
62,16,1,0.5,1,2,3,2,
60,16,1.5,0.5,1,2,2,2,
58,16,2,0.5,1,1,2,2,
57,16,2.5,0.5,1,1,1,2,
55,18,0,3.25,1,1,0,1,
57,18,0.25,0.25,1,1,1,1,
58,18,0.5,0.25,1,1,2,2,
61,18,0.75,0.25,1,1,4,1,
62,18,1,0.25,2,1,0,2,
64,18,1.25,0.25,2,1,1,1,
66,18,1.5,0.25,2,1,2,2,
67,18,1.75,0.25,2,1,3,1,
69,18,2,0.166667,3,1,0,2,
70,18,2.166667,0.166667,3,1,1,2,
73,18,2.333333,0.166667,3,1,2,2,
74,18,2.5,0.166667,3,3,1,2,
78,18,2.666667,0.166667,3,3,3,2,
79,18,2.833333,0.166667,3,3,4,2,
80,19,0,0.25,3,4,4,1,
68,19,0.25,0.25,2,4,1,1,
79,19,0.5,0.25,3,3,4,2,
77,19,0.75,0.25,3,3,3,2,
75,19,1,0.25,3,3,2,1,
74,19,1.25,0.25,3,3,1,1,
77,19,1.5,0.25,3,3,3,2,
75,19,1.75,0.25,3,3,2,2,
74,19,2,0.0625,3,2,2,1,
75,19,2.0625,0.0625,3,2,3,1,
74,19,2.125,0.125,3,2,2,1,
72,19,2.25,0.25,3,2,1,1,
70,19,2.5,0.25,2,2,4,2,
68,19,2.75,0.25,2,2,3,2,
67,20,0,0.25,2,2,2,1,
70,20,0.25,0.25,2,2,4,1,
74,20,0.5,0.25,3,2,2,1,
75,20,0.75,0.25,3,2,3,1,
75,20,1,0.5,3,2,3,2,
63,20,1.5,1,2,1,1,1,
64,20,2.5,0.5,2,1,1,1,
65,21,0,0.25,2,1,2,2,
68,21,0.25,0.25,2,3,2,2,
71,21,0.5,0.25,2,3,3,2,
72,21,0.75,0.25,2,3,4,2,
72,21,1,0.5,2,3,4,1,
60,21,1.5,1,1,3,1,2,
62,21,2.5,0.5,1,3,2,2,
63,22,0,0.25,2,1,1,1,
65,22,0.25,0.25,2,1,2,1,
66,22,0.5,0.25,2,1,3,1,
72,22,0.75,0.25,3,1,2,1,
71,22,1,0.25,3,1,1,1,
74,22,1.25,0.25,3,1,3,1,
78,22,1.5,0.25,4,1,1,1,
79,22,1.75,0.25,4,1,2,1,
86,22,2,0.25,4,3,4,2,
83,22,2.25,0.25,4,3,2,2,
79,22,2.5,0.25,3,3,4,2,
74,22,2.75,0.25,3,3,1,2,
80,23,0,0.25,3,4,4,1,
68,23,0.25,0.25,2,4,1,1,
79,23,0.5,0.25,3,3,4,2,
77,23,0.75,0.25,3,3,3,2,
75,23,1,0.25,3,3,2,1,
74,23,1.25,0.25,3,3,1,1,
77,23,1.5,0.25,3,3,3,2,
75,23,1.75,0.25,3,3,2,2,
74,23,2,0.0625,3,2,2,1,
75,23,2.0625,0.0625,3,2,3,1,
74,23,2.125,0.125,3,2,2,1,
72,23,2.25,0.25,3,2,1,1,
70,23,2.5,0.25,2,2,4,2,
68,23,2.75,0.25,2,2,3,2,
67,24,0,0.25,2,2,2,1,
70,24,0.25,0.25,2,2,4,1,
74,24,0.5,0.25,3,2,2,1,
75,24,0.75,0.25,3,2,3,1,
75,24,1,0.5,3,2,3,2,
63,24,1.5,1,2,1,1,1,
72,24,2.5,0.5,2,3,4,1,
68,25,0,0.25,2,3,2,2,
72,25,0.25,0.25,2,3,4,2,
76,25,0.5,0.25,3,3,2,2,
77,25,0.75,0.25,3,3,3,2,
77,25,1,0.5,3,3,3,1,
65,25,1.5,1,2,2,1,2,
72,25,2.5,0.5,2,3,4,2,
74,26,0,0.25,3,3,1,1,
77,26,0.25,0.25,3,3,3,1,
80,26,0.5,0.25,3,4,4,1,
79,26,0.75,0.25,3,3,4,1,
77,26,1,0.25,3,3,3,1,
75,26,1.25,0.25,3,3,2,1,
74,26,1.5,0.25,3,3,1,1,
69,26,1.75,0.25,2,3,2,1,
70,26,2,0.25,2,4,2,2,
72,26,2.25,0.25,2,4,3,2,
74,26,2.5,0.25,2,4,4,2,
77,26,2.75,0.25,3,4,2,2,
80,27,0,0.25,3,4,4,1,
68,27,0.25,0.25,2,4,1,1,
79,27,0.5,0.25,3,3,4,2,
77,27,0.75,0.25,3,3,3,2,
75,27,1,0.25,3,3,2,1,
74,27,1.25,0.25,3,3,1,1,
77,27,1.5,0.25,3,3,3,2,
75,27,1.75,0.25,3,3,2,2,
74,27,2,0.0625,3,2,2,1,
75,27,2.0625,0.0625,3,2,3,1,
74,27,2.125,0.125,3,2,2,1,
72,27,2.25,0.25,3,2,1,1,
70,27,2.5,0.25,2,2,4,2,
68,27,2.75,0.25,2,2,3,2,
67,28,0,0.25,2,2,2,1,
70,28,0.25,0.25,2,2,4,1,
74,28,0.5,0.25,3,2,2,1,
75,28,0.75,0.25,3,2,3,1,
75,28,1,0.5,3,2,3,2,
63,28,1.5,1,2,1,1,1,
64,28,2.5,0.5,2,1,1,1,
65,29,0,0.25,2,1,2,2,
68,29,0.25,0.25,2,3,2,2,
71,29,0.5,0.25,2,3,3,2,
72,29,0.75,0.25,2,3,4,2,
72,29,1,0.5,2,3,4,1,
60,29,1.5,1,1,3,1,2,
62,29,2.5,0.5,1,3,2,2,
63,30,0,0.25,2,1,1,1,
65,30,0.25,0.25,2,1,2,1,
66,30,0.5,0.25,2,1,3,1,
72,30,0.75,0.25,3,1,2,1,
71,30,1,0.25,3,1,1,1,
74,30,1.25,0.25,3,1,3,1,
78,30,1.5,0.25,4,1,1,1,
79,30,1.75,0.25,4,1,2,1,
86,30,2,0.25,4,3,4,2,
83,30,2.25,0.25,4,3,2,2,
79,30,2.5,0.25,3,3,4,2,
74,30,2.75,0.25,3,3,1,2,
80,31,0,0.25,3,4,4,1,
68,31,0.25,0.25,2,4,1,1,
79,31,0.5,0.25,3,3,4,2,
77,31,0.75,0.25,3,3,3,2,
75,31,1,0.25,3,3,2,1,
74,31,1.25,0.25,3,3,1,1,
77,31,1.5,0.25,3,3,3,2,
75,31,1.75,0.25,3,3,2,2,
74,31,2,0.0625,3,2,2,1,
75,31,2.0625,0.0625,3,2,3,1,
74,31,2.125,0.125,3,2,2,1,
72,31,2.25,0.25,3,2,1,1,
70,31,2.5,0.25,2,2,4,2,
