pitch,bars,start,duration,string,position,finger,bowing,harmonic
55,9,0,0.5,1,1,0,1,
62,9,0,0.5,2,1,0,1,
70,9,0,0.5,3,1,1,1,
79,9,0,0.5,4,1,2,1,
78,9,0.5,0.5,4,1,1,1,
79,9,1,0.5,4,2,1,2,
81,9,1.5,0.5,4,2,2,1,
82,9,2,1,4,2,3,2,
81,10,0,1,4,2,2,1,
77,10,1,1,3,2,4,2,
74,10,2,1,3,2,2,2,
79,11,0,1,4,2,1,1,
79,11,1,0.5,4,1,2,2,
78,11,1.5,0.5,4,1,1,2,
79,11,2,0.5,4,2,1,1,
81,11,2.5,0.5,4,2,2,2,
82,12,0,1,4,2,3,1,
81,12,1,1.5,4,2,2,2,
79,12,2.5,0.5,4,1,2,2,
79,13,0,1,4,1,2,1,
79,13,1,0.5,4,1,2,2,
78,13,1.5,0.5,4,1,1,2,
79,13,2,0.5,4,2,1,1,
81,13,2.5,0.5,4,2,2,2,
83,14,0,1,4,2,3,1,
83,14,1,0.5,4,4,1,2,
84,14,1.5,0.5,4,4,2,2,
86,14,2,0.5,4,4,3,1,
83,14,2.5,0.5,4,4,1,2,
84,15,0,1,4,4,2,1,
82,15,1,0.5,4,2,3,2,
80,15,1.5,0.5,4,2,2,1,
79,16,2,1.5,4,2,1,2,
70,16,0.5,0.5,2,3,3,1,
69,16,1,1.5,2,3,2,2,
67,16,2.5,0.5,2,3,1,2,
67,17,0,1,2,3,1,1,
70,17,1,1,2,5,1,2,
75,18,2,1.75,2,5,4,1,
73,18,0.75,0.25,2,5,2,2,
74,18,1,0.75,2,5,3,2,
80,18,1.75,0.25,3,5,2,1,
81,19,2,1.75,3,5,3,1,
78,19,0.75,0.25,3,4,2,2,
79,19,1,0.75,3,4,3,2,
83,19,1.75,0.25,4,4,1,1,
84,20,2,1.25,4,4,2,1,
84,20,0.25,0.25,4,4,2,2,
87,20,0.5,0.25,4,4,4,2,
84,20,0.75,0.25,4,4,2,1,
82,20,1,1.5,4,3,2,2,
81,20,2.5,0.5,4,2,2,2,
82,21,0,0.5,4,2,3,1,
81,21,0.5,0.5,4,1,3,1,
79,21,1,0.5,4,1,2,1,
