pitch,bars,start,duration,string,position,finger,bowing,harmonic
76,5,0,4,3,4,1,2,
77,6,0,4,3,4,2,1,
79,7,0,3,3,4,3,2,
74,7,3,1,3,3,1,2,
76,8,0,3,3,3,2,1,
81,9,0,2.5,3,4,4,2,
69,9,2.5,0.5,2,4,1,2,
71,9,3,0.5,2,4,2,1,
72,9,3.5,0.5,2,4,3,2,
74,10,0,1.5,3,3,1,1,
76,10,1.5,0.5,3,3,2,1,
74,10,2,2,3,3,1,2,
79,11,0,2.5,3,3,4,1,
67,11,2.5,0.5,2,3,1,2,
69,11,3,0.5,2,3,2,2,
71,11,3.5,0.5,2,3,3,2,
72,12,0,1.5,3,2,1,1,
74,12,1.5,0.5,3,2,2,1,
72,12,2,2,3,2,1,2,
84,13,0,2.5,3,7,3,1,
72,13,2.5,0.5,3,2,1,2,
74,13,3,0.5,3,3,1,2,
76,13,3.5,0.5,3,3,2,2,
78,14,0,1.5,3,3,3,1,
76,14,1.5,0.5,3,3,2,1,
74,14,2,1,3,3,1,2,
69,14,3,1,2,3,2,2,
71,15,0,2.5,2,3,3,1,
74,15,3,1,3,3,1,2,
76,16,0,2.5,3,3,2,1,
76,16,2.5,0.5,3,4,1,2,
77,16,3,0.5,3,4,2,2,
79,16,3.5,0.5,3,4,3,2,
81,17,0,2,3,4,4,1,
69,17,2,1,2,4,1,2,
74,18,0,2.5,2,4,4,1,
74,18,2.5,0.5,3,3,1,2,
76,18,3,0.5,3,3,2,2,
77,18,3.5,0.5,3,3,3,2,
79,19,0,2,3,3,4,1,
67,19,2,1,2,3,1,2,
72,20,0,2.5,2,3,4,1,
72,20,2.5,0.5,3,2,1,2,
74,20,3,0.5,3,2,2,2,
76,20,3.5,0.5,3,2,3,2,
77,21,0,2.5,3,5,1,1,
77,21,2.5,0.5,3,5,1,2,
79,21,3,0.5,3,5,2,2,
81,21,3.5,0.5,3,5,3,2,
83,22,0,1.5,3,5,4,1,
81,22,1.5,0.5,3,5,3,1,
79,22,2,1,3,5,2,2,
74,22,3,1,3,3,1,2,
76,23,0,3,3,3,2,1,
76,23,3.5,0.5,3,4,1,2,
79,24,0,2,3,4,3,1,
76,24,2,1,3,4,1,2,
76,24,3.5,0.5,3,4,1,2,
81,25,0,2,3,4,4,1,
69,25,2,1,2,4,1,2,
81,25,3.5,0.5,4,2,2,2,
81,26,0,2,4,2,2,1,
72,26,2,1,3,2,1,2,
81,26,3.5,0.5,4,3,1,2,
84,27,0,2,4,3,3,1,
75,27,2,1,3,3,2,2,
84,27,3.5,0.5,4,3,3,2,
84,28,0,2,4,3,3,1,
74,28,2,1,3,3,1,2,
74,28,3.5,0.5,3,3,1,2,
74,29,0,2.5,3,1,3,1,
74,29,2.5,0.5,3,1,3,2,
72,29,3,0.5,3,1,2,2,
71,29,3.5,0.5,3,1,1,2,
79,30,0,1.5,3,3,4,1,
76,30,1.5,0.5,3,3,2,1,
72,30,2,1,3,2,1,2,
77,31,0,2.5,3,3,3,1,
77,31,2.5,0.5,3,3,3,2,
76,31,3,0.5,3,3,2,2,
74,31,3.5,0.5,3,3,1,2,
86,32,0,1.5,4,3,4,1,
83,32,1.5,0.5,4,3,2,2,
79,32,2,2,4,2,1,1,
81,33,0,2.5,4,3,1,2,
81,33,2.5,0.5,4,3,1,1,
83,33,3,0.5,4,3,2,1,
84,33,3.5,0.5,4,3,3,2,
88,34,0,2.5,4,4,4,1,
84,34,2.5,0.5,4,4,2,2,
79,34,3,0.5,3,4,3,2,
