pitch,bars,start,duration,string,position,finger,bowing,harmonic
59,1,1,0.5,1,1,2,1,
62,1,1.5,0.5,2,1,0,1,
67,1,2,0.5,2,1,3,2,
71,1,2.5,0.5,3,1,1,1,
74,2,0,1,3,1,3,2,
73,2,1.5,0.5,3,1,2,2,
76,3,2,1.5,3,3,2,1,
75,3,0.5,0.5,3,1,3,2,
74,3,1,0.5,3,1,3,1,
73,3,1.5,0.5,3,1,2,2,
72,3,2,0.5,3,1,2,1,
71,3,2.5,0.5,3,1,1,2,
74,4,0,1,3,1,3,2,
72,4,1.5,0.166667,3,1,2,1,
74,4,1.666667,0.166667,3,1,3,1,
72,4,1.833333,0.166667,3,1,2,1,
64,5,2,1.5,2,1,1,1,
65,5,0.5,0.5,2,1,2,2,
66,5,1,0.5,2,1,2,1,
71,5,1.5,0.5,3,1,1,2,
69,5,2,0.5,3,1,0,1,
66,5,2.5,0.5,2,1,2,2,
62,6,0,0.5,2,1,0,1,
60,6,0.5,0.5,1,1,3,2,
57,6,1,0.5,1,1,1,1,
60,6,1.5,0.5,1,1,3,2,
62,6,2,0.5,1,1,0,1,
66,6,2.5,0.5,2,1,2,2,
69,7,0,0.5,3,1,0,1,
72,7,0.5,0.5,3,1,2,2,
73,7,1,0.5,3,1,2,1,
74,7,1.5,0.5,3,1,3,2,
83,7,2,0.5,4,1,4,1,
81,7,2.5,0.5,4,1,3,2,
79,8,0,0.5,4,1,2,1,
76,8,0.5,0.5,4,1,0,1,
74,8,1,0.5,3,1,3,2,
71,8,1.5,0.5,3,1,1,1,
67,8,2,0.5,2,1,3,2,
64,8,2.5,0.5,2,1,1,1,
62,9,0,0.5,2,1,0,2,
59,9,0.5,0.5,1,1,2,2,
61,9,1,0.5,1,1,3,1,
62,9,1.5,0.5,2,1,0,1,
67,9,2,0.5,2,1,3,2,
71,9,2.5,0.5,3,1,1,1,
74,10,0,1,3,1,3,2,
73,10,1.5,0.5,3,1,2,2,
76,11,2,1.5,3,3,2,1,
75,11,0.5,0.5,3,1,3,2,
74,11,1,0.5,3,1,3,1,
73,11,1.5,0.5,3,1,2,2,
72,11,2,0.5,3,1,2,1,
71,11,2.5,0.5,3,1,1,2,
74,12,0,1,3,1,3,2,
72,12,1.5,0.166667,3,1,2,1,
74,12,1.666667,0.166667,3,1,3,1,
72,12,1.833333,0.166667,3,1,2,1,
64,13,2,1.5,2,1,1,1,
65,13,0.5,0.5,2,1,2,2,
66,13,1,0.5,2,1,2,1,
71,13,1.5,0.5,3,1,1,2,
69,13,2,0.5,3,1,0,1,
66,13,2.5,0.5,2,1,2,2,
62,14,0,0.5,2,1,0,1,
60,14,0.5,0.5,1,1,3,2,
57,14,1,0.5,1,1,1,1,
60,14,1.5,0.5,1,1,3,2,
62,14,2,0.5,1,1,0,1,
66,14,2.5,0.5,2,1,2,2,
69,15,0,0.5,3,1,0,1,
72,15,0.5,0.5,3,1,2,2,
73,15,1,0.5,3,1,2,1,
74,15,1.5,0.5,3,1,3,2,
83,15,2,0.5,4,1,4,1,
81,15,2.5,0.5,4,1,3,2,
79,16,0,0.5,4,1,2,1,
74,16,0.5,0.5,3,1,3,1,
71,16,1,0.5,3,1,1,2,
67,16,1.5,0.5,2,1,3,2,
