pitch,bars,start,duration,string,position,finger,bowing,harmonic
71,1,2,0.75,3,1,1,2,
72,1,2.75,0.25,3,1,2,2,
74,2,0,0.75,3,1,3,1,
73,2,0.75,0.25,3,1,2,1,
74,2,1,0.75,3,1,3,1,
73,2,1.75,0.25,3,1,2,1,
74,2,2,0.75,3,1,3,1,
73,2,2.75,0.25,3,1,2,1,
74,3,0,2,3,1,3,2,
76,3,2,0.75,3,1,4,2,
71,3,2.75,0.25,3,1,1,2,
72,4,0,2,3,1,2,1,
74,4,2,0.75,3,1,3,2,
69,4,2.75,0.25,3,1,0,2,
71,5,0,1,3,1,1,1,
67,5,2,0.75,2,1,3,2,
69,5,2.75,0.25,3,1,0,2,
71,6,0,0.75,3,1,2,1,
70,6,0.75,0.25,3,1,1,1,
71,6,1,0.75,3,1,2,1,
70,6,1.75,0.25,3,1,1,1,
71,6,2,0.75,3,1,2,1,
70,6,2.75,0.25,3,1,1,1,
71,7,0,2,3,1,1,2,
69,7,2,0.5,3,1,0,1,
67,7,2.5,0.5,2,1,3,2,
67,8,0,0.5,2,1,3,1,
66,8,0.5,0.5,2,1,2,1,
66,8,1,0.5,2,1,2,2,
69,8,1.5,0.5,2,1,4,2,
67,8,2,0.5,2,1,3,2,
64,8,2.5,0.5,2,1,1,2,
62,9,0,1,2,1,0,1,
71,9,2,0.75,3,1,1,2,
72,9,2.75,0.25,3,1,2,2,
74,10,0,0.75,3,1,3,1,
73,10,0.75,0.25,3,1,2,1,
74,10,1,0.75,3,1,3,1,
73,10,1.75,0.25,3,1,2,1,
74,10,2,0.75,3,1,3,1,
73,10,2.75,0.25,3,1,2,1,
74,11,0,2,3,1,3,2,
76,11,2,0.75,3,1,4,2,
71,11,2.75,0.25,3,1,1,2,
72,12,0,2,3,1,2,1,
74,12,2,0.75,3,1,3,2,
69,12,2.75,0.25,3,1,0,2,
71,13,0,1,3,1,1,1,
67,13,2,0.75,2,1,3,2,
69,13,2.75,0.25,3,1,0,2,
71,14,0,0.75,3,1,2,1,
70,14,0.75,0.25,3,1,1,1,
71,14,1,0.75,3,1,2,1,
70,14,1.75,0.25,3,1,1,1,
71,14,2,0.75,3,1,2,1,
70,14,2.75,0.25,3,1,1,1,
71,15,0,2,3,1,1,2,
69,15,2,0.5,3,1,0,1,
67,15,2.5,0.5,2,1,3,2,
67,16,0,0.5,2,1,3,1,
66,16,0.5,0.5,2,1,2,1,
66,16,1,0.5,2,1,2,2,
69,16,1.5,0.5,2,1,4,2,
67,16,2,0.5,2,1,3,2,
64,16,2.5,0.5,2,1,1,2,
62,17,0,1,2,1,0,1,
74,17,2,0.5,3,1,3,2,
79,17,2.5,0.5,4,1,2,2,
79,18,0,1,4,1,2,1,
78,18,1,1,4,1,1,1,
79,18,2,1,4,1,2,2,
81,19,0,2,4,1,3,1,
79,19,2,0.25,4,1,2,2,
78,19,2.25,0.25,4,1,1,2,
76,19,2.5,0.25,4,1,0,2,
74,19,2.75,0.25,3,1,3,2,
72,20,0,1,3,1,2,1,
71,20,1,1,3,1,1,1,
76,20,2,0.75,3,1,4,2,
72,20,2.75,0.25,3,1,2,2,
71,21,0,1,3,1,1,1,
69,21,1,0.5,3,1,0,1,
67,21,2,0.75,2,1,3,2,
69,21,2.75,0.25,3,1,0,2,
71,22,0,0.75,3,1,2,1,
70,22,0.75,0.25,3,1,1,1,
71,22,1,0.75,3,1,2,1,
70,22,1.75,0.25,3,1,1,1,
71,22,2,0.75,3,1,2,1,
70,22,2.75,0.25,3,1,1,1,
71,23,0,2,3,1,1,2,
72,23,2,0.75,3,1,2,2,
68,23,2.75,0.25,2,1,3,2,
69,24,0,2,2,1,4,1,
71,24,2,0.75,3,1,1,2,
66,24,2.75,0.25,2,1,2,2,
67,25,0,1,2,1,3,1,
74,25,2,0.5,3,1,3,2,
79,25,2.5,0.5,4,1,2,2,
79,26,0,1,4,1,2,1,
78,26,1,1,4,1,1,1,
79,26,2,1,4,1,2,2,
81,27,0,2,4,1,3,1,
79,27,2,0.25,4,1,2,2,
78,27,2.25,0.25,4,1,1,2,
76,27,2.5,0.25,4,1,0,2,
74,27,2.75,0.25,3,1,3,2,
72,28,0,1,3,1,2,1,
71,28,1,1,3,1,1,1,
76,28,2,0.75,3,1,4,2,
72,28,2.75,0.25,3,1,2,2,
71,29,0,1,3,1,1,1,
69,29,1,0.5,3,1,0,1,
67,29,2,0.75,2,1,3,2,
69,29,2.75,0.25,3,1,0,2,
71,30,0,0.75,3,1,2,1,
70,30,0.75,0.25,3,1,1,1,
71,30,1,0.75,3,1,2,1,
70,30,1.75,0.25,3,1,1,1,
71,30,2,0.75,3,1,2,1,
70,30,2.75,0.25,3,1,1,1,
71,31,0,2,3,1,1,2,
72,31,2,0.75,3,1,2,2,
68,31,2.75,0.25,2,1,3,2,
69,32,0,2,2,1,4,1,
71,32,2,0.75,3,1,1,2,
66,32,2.75,0.25,2,1,2,2,
67,33,0,1,2,1,3,1,
74,33,1.5,0.5,3,1,3,2,
73,33,2,0.5,3,1,2,2,
74,33,2.5,0.5,3,1,3,2,
71,34,0,0.5,3,1,1,1,
74,34,0.5,0.5,3,1,3,1,
67,34,1,0.5,2,1,3,2,
71,34,1.5,0.5,3,1,1,2,
62,34,2,0.5,2,1,0,2,
71,34,2.5,0.5,3,1,1,2,
69,35,0,0.5,3,1,0,1,
72,35,0.5,0.5,3,1,2,1,
66,35,1,0.5,2,1,2,2,
69,35,1.5,0.5,2,1,4,2,
62,35,2,0.5,2,1,0,2,
66,35,2.5,0.5,2,1,2,2,
67,36,0,0.5,2,1,3,1,
66,36,0.5,0.5,2,1,2,1,
67,36,1,0.5,2,1,3,2,
69,36,1.5,0.5,3,1,0,2,
71,36,2,0.5,3,1,1,2,
72,36,2.5,0.5,3,1,2,2,
74,37,0,0.5,3,1,3,1,
73,37,0.5,0.5,3,1,2,1,
74,37,1,0.5,3,1,3,2,
76,37,1.5,0.5,3,1,4,2,
74,37,2,0.5,3,1,3,2,
72,37,2.5,0.5,3,1,2,2,
71,38,0,0.5,3,1,2,1,
70,38,0.5,0.5,3,1,1,1,
71,38,1,0.5,3,1,1,2,
72,38,1.5,0.5,3,1,2,2,
71,38,2,0.5,3,1,1,2,
69,38,2.5,0.5,3,1,0,2,
67,39,0,0.5,2,1,3,1,
71,39,0.5,0.5,3,1,1,1,
69,39,1,0.5,3,1,0,2,
67,39,1.5,0.5,2,1,3,2,
66,39,2,0.5,2,1,2,2,
69,39,2.5,0.5,2,1,4,2,
64,40,0,0.5,2,1,1,1,
66,40,0.5,0.5,2,1,2,1,
67,40,1,0.5,2,1,3,2,
64,40,1.5,0.5,2,1,1,2,
61,40,2,0.5,1,1,3,2,
57,40,2.5,0.5,1,1,1,2,
62,41,0,1,2,1,0,1,
74,41,1.5,0.5,3,1,3,2,
73,41,2,0.5,3,1,2,2,
74,41,2.5,0.5,3,1,3,2,
71,42,0,0.5,3,1,1,1,
74,42,0.5,0.5,3,1,3,1,
67,42,1,0.5,2,1,3,2,
71,42,1.5,0.5,3,1,1,2,
62,42,2,0.5,2,1,0,2,
71,42,2.5,0.5,3,1,1,2,
69,43,0,0.5,3,1,0,1,
72,43,0.5,0.5,3,1,2,1,
66,43,1,0.5,2,1,2,2,
69,43,1.5,0.5,2,1,4,2,
62,43,2,0.5,2,1,0,2,
66,43,2.5,0.5,2,1,2,2,
67,44,0,0.5,2,1,3,1,
66,44,0.5,0.5,2,1,2,1,
67,44,1,0.5,2,1,3,2,
69,44,1.5,0.5,3,1,0,2,
71,44,2,0.5,3,1,1,2,
72,44,2.5,0.5,3,1,2,2,
74,45,0,0.5,3,1,3,1,
73,45,0.5,0.5,3,1,2,1,
74,45,1,0.5,3,1,3,2,
76,45,1.5,0.5,3,1,4,2,
74,45,2,0.5,3,1,3,2,
72,45,2.5,0.5,3,1,2,2,
71,46,0,0.5,3,1,2,1,
70,46,0.5,0.5,3,1,1,1,
