pitch,bars,start,duration,string,position,finger,bowing,harmonic
69,1,0,0.5,2,3,2,1,
69,1,0.75,0.25,3,1,0,1,
69,1,1,0.25,3,1,0,2,
72,1,1.25,0.25,3,1,2,2,
71,1,1.5,0.25,3,1,1,2,
69,1,1.75,0.25,3,1,0,2,
76,2,0,0.5,3,1,4,1,
64,2,0.75,0.25,2,1,1,1,
64,2,1,0.25,2,1,1,2,
68,2,1.25,0.25,2,1,3,2,
66,2,1.5,0.25,2,1,2,2,
64,2,1.75,0.25,2,1,1,2,
69,3,0,0.5,2,1,4,1,
69,3,0.75,0.25,3,1,0,1,
69,3,1,0.25,3,1,0,2,
72,3,1.25,0.25,3,1,2,2,
71,3,1.5,0.25,3,1,1,2,
69,3,1.75,0.25,3,1,0,2,
76,4,0,1,3,1,4,1,
64,4,1,0.5,2,1,1,1,
69,5,0,0.5,2,3,2,1,
69,5,0.75,0.25,3,1,0,1,
69,5,1,0.25,3,1,0,2,
72,5,1.25,0.25,3,1,2,2,
71,5,1.5,0.25,3,1,1,2,
69,5,1.75,0.25,3,1,0,2,
76,6,0,0.5,3,1,4,1,
64,6,0.75,0.25,2,1,1,1,
64,6,1,0.25,2,1,1,2,
68,6,1.25,0.25,2,1,3,2,
66,6,1.5,0.25,2,1,2,2,
64,6,1.75,0.25,2,1,1,2,
69,7,0,0.5,2,1,4,1,
69,7,0.75,0.25,3,1,0,1,
69,7,1,0.25,3,1,0,2,
72,7,1.25,0.25,3,1,2,2,
71,7,1.5,0.25,3,1,1,2,
69,7,1.75,0.25,3,1,0,2,
76,8,0,1,3,1,4,1,
64,8,1,0.5,2,1,1,1,
81,9,0,0.5,3,4,4,1,1
81,9,0.75,0.25,4,1,3,1,
81,9,1,0.25,4,1,3,2,
82,9,1.25,0.25,4,1,4,2,
81,9,1.5,0.25,4,1,3,2,
79,9,1.75,0.25,4,1,2,2,
77,10,0,0.5,4,1,1,1,
74,10,0.75,0.25,3,3,1,1,
74,10,1,0.25,3,3,1,2,
77,10,1.25,0.25,3,3,3,2,
76,10,1.5,0.25,3,3,2,2,
74,10,1.75,0.25,3,3,1,2,
79,11,0,0.5,3,3,4,1,
79,11,0.75,0.25,4,1,2,1,
79,11,1,0.25,4,1,2,2,
81,11,1.25,0.25,4,1,3,2,
79,11,1.5,0.25,4,1,2,2,
77,11,1.75,0.25,4,1,1,2,
76,12,0,0.5,4,1,0,1,
72,12,0.75,0.25,3,2,1,1,
72,12,1,0.25,3,2,1,2,
76,12,1.25,0.25,3,2,3,2,
74,12,1.5,0.25,3,2,2,2,
72,12,1.75,0.25,3,2,1,2,
77,13,0,0.5,3,2,4,1,
71,13,0.75,0.25,3,1,1,1,
71,13,1,0.25,3,1,1,2,
74,13,1.25,0.25,3,1,3,2,
72,13,1.5,0.25,3,1,2,2,
71,13,1.75,0.25,3,1,1,2,
76,14,0,0.5,3,1,4,1,
69,14,0.75,0.25,3,1,0,1,
69,14,1,0.25,3,1,0,2,
72,14,1.25,0.25,3,1,2,2,
71,14,1.5,0.25,3,1,1,2,
69,14,1.75,0.25,3,1,0,2,
65,15,0,0.5,2,1,2,1,
75,15,0.75,0.25,3,1,4,1,
64,15,1,0.25,2,1,1,2,
76,15,1.25,0.25,3,1,4,2,
74,15,1.5,0.25,3,1,3,2,
71,15,1.75,0.25,3,1,1,2,
69,16,0,1,2,1,4,1,
57,16,1,0.5,1,1,1,1,
81,17,0,0.083333,4,3,1,1,
84,17,0.083333,0.083333,4,3,3,1,
88,17,0.166667,0.166667,4,3,4,1,
84,17,0.333333,0.333333,4,3,3,2,
81,17,0.666667,0.333333,4,3,1,2,
76,17,1,0.333333,4,1,0,2,
72,17,1.333333,0.333333,3,1,2,2,
69,17,1.666667,0.333333,3,1,0,2,
76,18,0,0.083333,4,1,0,1,
80,18,0.083333,0.083333,4,1,2,1,
83,18,0.166667,0.166667,4,1,4,1,
80,18,0.333333,0.333333,4,1,2,2,
76,18,0.666667,0.333333,4,1,0,2,
71,18,1,0.333333,3,1,1,2,
68,18,1.333333,0.333333,2,1,3,2,
64,18,1.666667,0.333333,2,1,1,2,
81,19,0,0.083333,4,3,1,1,
84,19,0.083333,0.083333,4,3,3,1,
88,19,0.166667,0.166667,4,3,4,1,
84,19,0.333333,0.333333,4,3,3,2,
81,19,0.666667,0.333333,4,3,1,2,
76,19,1,0.333333,4,1,0,2,
72,19,1.333333,0.333333,3,1,2,2,
69,19,1.666667,0.333333,3,1,0,2,
76,20,0,1,3,1,4,1,
64,20,1,0.5,2,1,1,1,
81,21,0,0.083333,4,3,1,1,
84,21,0.083333,0.083333,4,3,3,1,
88,21,0.166667,0.166667,4,3,4,1,
84,21,0.333333,0.333333,4,3,3,2,
81,21,0.666667,0.333333,4,3,1,2,
76,21,1,0.333333,4,1,0,2,
72,21,1.333333,0.333333,3,1,2,2,
69,21,1.666667,0.333333,3,1,0,2,
76,22,0,0.083333,4,1,0,1,
80,22,0.083333,0.083333,4,1,2,1,
83,22,0.166667,0.166667,4,1,4,1,
