pitch,bars,start,duration,string,position,finger,bowing,harmonic
57,1,2.5,0.5,1,1,1,2,
60,1,3,0.0625,1,1,3,2,
58,1,3.064583,0.4375,1,1,2,2,
57,1,3.5,0.5,1,1,1,2,
69,2,0,2.5,1,6,3,1,
65,2,2.5,0.5,1,5,2,1,
65,2,3,0.5,1,5,2,2,
67,2,3.5,0.5,1,5,3,1,
65,3,0,0.125,1,5,2,2,
67,3,0.125,0.125,1,5,3,2,
65,3,0.25,0.25,1,5,2,2,
64,3,0.5,0.5,1,5,1,2,
70,3,1,2.5,1,7,3,1,
58,3,3.5,0.5,1,1,2,1,
58,4,0,0.5,1,1,2,2,
57,4,0.5,0.5,1,1,1,2,
61,4,1,0.5,1,1,3,1,
64,4,1.5,0.5,2,1,1,1,
67,4,2,0.5,2,1,3,2,
67,4,2.5,0.5,2,1,3,1,
65,4,3,0.5,2,1,2,2,
61,4,3.5,0.5,1,1,3,2,
64,5,0,0.5,1,3,3,1,
62,5,0.5,0.5,1,3,2,1,
62,5,1,0.0625,1,3,2,2,
64,5,1.0625,0.0625,1,3,3,2,
62,5,1.125,0.125,1,3,2,2,
61,5,1.25,0.25,1,3,1,2,
62,5,1.5,0.25,1,3,2,2,
64,5,1.75,0.25,1,3,3,2,
65,5,2,0.5,1,3,4,1,
57,5,2.5,0.5,1,1,1,2,
60,5,3,0.0625,1,1,3,2,
58,5,3.064583,0.4375,1,1,2,2,
57,5,3.5,0.5,1,1,1,2,
69,6,0,2.5,1,6,3,1,
65,6,2.5,0.5,1,5,2,1,
65,6,3,0.5,1,5,2,2,
67,6,3.5,0.5,1,5,3,1,
65,7,0,0.125,1,5,2,2,
67,7,0.125,0.125,1,5,3,2,
65,7,0.25,0.25,1,5,2,2,
64,7,0.5,0.5,1,5,1,2,
70,7,1,2.5,1,7,3,1,
58,7,3.5,0.5,1,1,2,1,
58,8,0,0.5,1,1,2,2,
57,8,0.5,0.5,1,1,1,2,
62,8,1,0.5,1,3,2,1,
61,8,1.5,0.5,1,3,1,1,
67,8,2,1.5,1,4,4,2,
64,8,3.5,0.5,1,3,3,2,
64,9,0,0.5,1,3,3,1,
62,9,0.5,0.5,1,3,2,1,
62,9,1,0.125,1,3,2,2,
64,9,1.125,0.125,1,3,3,2,
62,9,1.25,0.25,1,3,2,2,
61,9,1.5,0.5,1,3,1,2,
62,9,2,1,1,3,2,1,
60,10,0,1.166667,1,1,3,1,
64,10,1.166667,0.166667,2,1,1,1,
67,10,1.333333,0.166667,2,1,3,1,
70,10,1.5,0.166667,3,1,1,1,
72,10,1.666667,0.166667,3,1,2,1,
76,10,1.833333,0.166667,4,1,0,1,
79,10,2,0.375,4,1,2,1,
77,10,2.375,0.125,4,1,1,2,
76,10,2.5,0.375,4,1,0,2,
74,10,2.875,0.125,3,1,3,1,
72,10,3,0.5,3,1,2,2,
70,10,3.5,0.5,3,1,1,2,
70,11,0,0.5,2,3,3,1,
69,11,0.5,0.5,2,3,2,1,
69,11,1,0.25,2,3,2,2,
70,11,1.247917,0.25,2,3,3,2,
69,11,1.5,0.25,2,3,2,2,
68,11,1.75,0.25,2,3,1,1,
69,11,2,2,2,3,2,2,
57,12,0,1.166667,1,1,1,1,
61,12,1.166667,0.166667,1,1,4,1,
64,12,1.333333,0.166667,2,1,1,1,
67,12,1.5,0.166667,2,1,3,1,
69,12,1.666667,0.166667,3,1,0,1,
73,12,1.833333,0.166667,3,1,2,1,
76,12,2,0.5,3,1,4,2,
73,12,2.5,0.5,3,1,2,1,
81,12,3,0.5,3,4,4,2,
69,12,3.5,0.5,3,1,0,2,
76,13,0,0.5,3,3,2,1,
74,13,0.5,0.5,3,3,1,1,
74,13,1,0.0625,3,3,1,2,
76,13,1.0625,0.0625,3,3,2,2,
74,13,1.125,0.125,3,3,1,2,
73,13,1.25,0.25,3,2,1,1,
74,13,1.5,0.25,3,3,1,2,
76,13,1.75,0.25,3,3,2,1,
77,13,2,1,3,3,3,2,
77,13,3,1,3,3,3,2,
77,14,0,1,3,3,3,1,
70,14,1,1.25,3,1,1,1,
76,14,2.25,0.083333,3,3,2,2,
77,14,2.333333,0.083333,3,3,3,2,
76,14,2.416667,0.083333,3,3,2,2,
75,14,2.5,0.125,3,3,1,2,
76,14,2.625,0.125,3,3,2,2,
77,14,2.75,0.125,3,3,3,2,
76,14,2.875,0.125,3,3,2,2,
79,14,3,0.333333,3,3,4,1,
77,14,3.333333,0.333333,3,3,3,1,
76,14,3.666667,0.333333,3,3,2,1,
76,15,0,0.5,3,3,2,2,
69,15,0.5,0.5,3,1,0,2,
69,15,1,1.5,2,3,2,1,
68,15,2.5,0.25,2,3,1,2,
69,15,2.75,0.25,2,3,2,2,
70,15,3,0.25,2,3,3,1,
69,15,3.25,0.25,2,3,2,2,
72,15,3.5,0.375,2,3,4,1,
70,15,3.875,0.125,2,3,3,1,
70,16,0,0.0625,2,3,3,2,
72,16,0.0625,0.0625,2,3,4,2,
70,16,0.125,0.125,2,3,3,2,
69,16,0.25,0.25,2,3,2,2,
69,16,0.5,0.0625,2,3,2,1,
70,16,0.5625,0.0625,2,3,3,1,
