pitch,bars,start,duration,string,position,finger,bowing,harmonic
77,1,0,2,3,4,2,2,
76,1,2,0.0625,3,4,1,2,
77,1,2.047917,0.0625,3,4,2,2,
79,1,2.095833,0.0625,3,4,3,2,
77,1,2.145833,0.354167,3,4,2,2,
76,1,2.5,0.25,3,3,2,1,
74,1,2.75,0.25,3,3,1,2,
74,2,0,1,3,3,1,1,
73,2,1,1,3,2,1,1,
81,3,0,2,4,3,1,1,
82,3,2,0.25,4,3,2,2,
81,3,2.25,0.75,4,3,1,2,
82,4,0,1,4,3,2,1,
81,4,1,1,4,3,1,1,
85,4,2.25,0.25,4,5,1,2,
86,4,2.5,0.25,4,5,2,2,
88,4,2.75,0.25,4,5,3,2,
86,5,0,1.5,4,5,2,1,
85,5,1.5,0.5,4,5,1,2,
86,5,2,0.5,4,5,2,2,
80,5,2.5,0.5,4,2,1,2,
81,6,0,2,4,2,2,1,
85,6,2.25,0.25,4,5,1,2,
86,6,2.5,0.25,4,5,2,2,
88,6,2.75,0.25,4,5,3,2,
86,7,0,1.25,4,5,2,1,
85,7,1.25,0.25,4,5,1,1,
86,7,1.5,0.25,4,5,2,2,
85,7,1.75,0.25,4,5,1,1,
86,7,2,0.75,4,5,2,2,
80,7,2.75,0.25,4,2,1,2,
81,8,0,1.5,4,2,2,1,
69,8,1.5,0.125,3,1,0,2,
71,8,1.625,0.125,3,1,1,2,
73,8,1.75,0.125,3,1,2,2,
74,8,1.875,0.125,3,2,2,2,
76,8,2,0.125,3,2,3,2,
77,8,2.125,0.125,3,2,4,2,
79,8,2.25,0.125,4,2,1,2,
81,8,2.375,0.125,4,2,2,2,
83,8,2.5,0.125,4,4,1,2,
85,8,2.625,0.125,4,4,2,2,
86,8,2.75,0.125,4,6,1,2,
88,8,2.875,0.125,4,6,2,2,
89,9,0,1.5,4,6,3,1,
88,9,1.5,0.25,4,5,3,2,
86,9,1.75,0.25,4,5,2,1,
86,9,2,0.0625,4,5,2,2,
84,9,2.047917,0.458333,4,5,1,2,
82,9,2.5,0.5,4,3,2,2,
81,10,0,0.0625,4,3,1,1,
82,10,0.047917,0.0625,4,3,2,1,
84,10,0.095833,0.0625,4,3,3,1,
82,10,0.145833,0.604167,4,3,2,1,
81,10,0.75,0.25,4,3,1,1,
81,10,1,1,4,3,1,2,
83,11,0,0.25,4,4,1,1,
84,11,0.25,0.75,4,4,2,1,
85,11,1,0.25,4,4,2,2,
86,11,1.25,0.5,4,4,3,2,
82,11,1.75,0.25,4,4,1,1,
81,11,2,0.0625,3,4,4,2,
79,11,2.047917,0.458333,3,4,3,2,
77,11,2.5,0.5,3,4,2,2,
76,12,0,1,3,3,2,1,
81,12,2,0.125,4,3,1,2,
82,12,2.125,0.125,4,3,2,2,
81,12,2.25,0.125,4,3,1,2,
82,12,2.375,0.125,4,3,2,2,
84,12,2.5,0.25,4,3,3,2,
84,12,2.75,0.25,4,3,3,2,
84,13,0,1,4,3,3,1,
74,13,1,1,3,3,1,1,
81,13,2,0.125,4,3,1,2,
82,13,2.125,0.125,4,3,2,2,
81,13,2.25,0.125,4,3,1,2,
82,13,2.375,0.125,4,3,2,2,
84,13,2.5,0.25,4,3,3,2,
84,13,2.75,0.25,4,3,3,2,
84,14,0,1,4,3,3,1,
77,14,1,1,4,1,1,1,
79,14,2,0.0625,4,1,2,2,
81,14,2.047917,0.0625,4,1,3,2,
82,14,2.095833,0.416667,4,1,4,2,
81,14,2.5,0.5,4,1,3,1,
79,15,0.5,0.5,4,1,2,2,
77,15,1.5,0.5,3,3,3,2,
76,15,2.5,0.5,3,3,2,2,
77,16,0,3,3,5,1,1,
78,17,0,0.5,3,5,1,1,
87,17,0.5,0.5,4,5,3,2,
86,17,1,1,4,5,2,2,
78,17,2,1,4,1,1,1,
79,18,0,3,4,1,2,2,
80,19,0,0.5,4,1,2,2,
89,19,0.5,0.5,4,6,3,1,
88,19,1,1,4,6,2,1,
80,19,2,1,4,2,1,2,
81,20,0,2,4,2,2,1,
77,20,2,0.125,4,1,1,2,
79,20,2.125,0.125,4,1,2,2,
77,20,2.25,0.125,4,1,1,2,
79,20,2.375,0.125,4,1,2,2,
81,20,2.5,0.25,4,1,3,2,
81,20,2.75,0.25,4,1,3,2,
81,21,0,1,4,1,3,1,
70,21,1,1,3,1,1,1,
77,21,2,0.125,4,1,1,2,
79,21,2.125,0.125,4,1,2,2,
77,21,2.25,0.125,4,1,1,2,
79,21,2.375,0.125,4,1,2,2,
81,21,2.5,0.25,4,1,3,2,
81,21,2.75,0.25,4,1,3,2,
81,22,0,1,4,1,3,1,
74,22,1,1,3,1,3,1,
77,22,2,0.125,4,1,1,2,
79,22,2.125,0.125,4,1,2,2,
77,22,2.25,0.125,4,1,1,2,
79,22,2.375,0.125,4,1,2,2,
81,22,2.5,0.25,4,1,3,2,
81,22,2.75,0.25,4,1,3,2,
73,23,0,0.25,3,1,2,1,
76,23,0.25,0.25,4,1,0,1,
79,23,0.5,0.25,4,1,2,1,
77,23,0.75,0.25,4,1,1,1,
76,23,1,0.25,4,1,0,2,
79,23,1.25,0.25,4,2,1,2,
82,23,1.5,0.25,4,2,3,2,
81,23,1.75,0.25,4,2,2,2,
79,23,2,0.25,4,2,1,1,
85,23,2.25,0.25,4,5,1,1,
88,23,2.5,0.25,4,5,3,1,
86,23,2.75,0.25,4,5,2,1,
85,24,0,3,4,5,1,2,
86,25,0,0.25,4,5,2,1,
88,25,0.25,0.25,4,5,3,1,
89,25,0.5,0.125,4,5,4,1,
88,25,0.625,0.125,4,5,3,1,
86,25,0.75,0.25,4,5,2,1,
86,25,1,0.75,4,5,2,2,
84,25,1.75,0.25,4,5,1,2,
82,25,2,0.5,3,6,3,1,
81,25,2.5,0.5,3,5,3,1,
79,26,0,0.25,3,5,2,2,
81,26,0.25,0.25,3,5,3,2,
82,26,0.5,0.125,3,5,4,2,
81,26,0.625,0.125,3,5,3,2,
79,26,0.75,0.25,3,5,2,2,
79,26,1,0.75,3,5,2,1,
77,26,1.75,0.25,3,5,1,1,
76,26,2,0.25,3,2,3,2,
74,26,2.25,0.25,3,2,2,2,
73,26,2.5,0.5,3,2,1,2,
74,27,0,0.75,3,3,1,1,
76,27,0.75,0.25,3,3,2,2,
77,27,1,1,3,3,3,1,
76,27,2,0.0625,3,3,2,2,
77,27,2.047917,0.0625,3,3,3,2,
76,27,2.095833,0.666667,3,3,2,2,
74,27,2.75,0.25,3,3,1,2,
74,28,0,2,3,3,1,1,
77,28,2,0.125,3,4,2,2,
79,28,2.125,0.125,3,4,3,2,
77,28,2.25,0.125,3,4,2,2,
79,28,2.375,0.125,3,4,3,2,
81,28,2.5,0.25,3,4,4,2,
81,28,2.75,0.25,3,4,4,2,
81,29,0,1,3,4,4,1,
70,29,1,1,3,1,1,1,
77,29,2,0.125,3,4,2,2,
79,29,2.125,0.125,3,4,3,2,
77,29,2.25,0.125,3,4,2,2,
79,29,2.375,0.125,3,4,3,2,
81,29,2.5,0.25,3,4,4,2,
81,29,2.75,0.25,3,4,4,2,
81,30,0,1,3,4,4,1,
74,30,1,1,3,3,1,1,
77,30,2,0.125,3,4,2,2,
