pitch,bars,start,duration,string,position,finger,bowing,harmonic
62,1,0,0.25,2,1,0,1,
64,1,0.375,0.125,2,1,1,2,
62,1,0.5,0.25,2,1,0,2,
64,1,0.875,0.125,2,1,1,1,
66,1,1,0.25,2,1,2,1,
69,1,1.375,0.125,3,1,0,2,
71,1,1.5,0.25,3,1,1,2,
69,1,1.875,0.125,3,1,0,1,
74,2,0,0.25,3,1,3,1,
73,2,0.375,0.125,3,1,2,2,
76,2,0.5,0.25,3,1,4,2,
74,2,0.875,0.125,3,1,3,1,
73,2,1,0.25,3,1,2,1,
76,2,1.375,0.125,3,1,4,2,
74,2,1.5,0.25,3,1,3,2,
71,2,1.875,0.125,3,1,1,1,
69,3,0,0.25,3,1,0,1,
69,3,0.375,0.125,3,1,0,2,
71,3,0.5,0.25,3,1,1,2,
69,3,0.875,0.125,3,1,0,1,
74,3,1,0.25,3,1,3,1,
71,3,1.375,0.125,3,1,1,2,
69,3,1.5,0.25,3,1,0,2,
66,3,1.875,0.125,2,1,2,1,
64,4,0,2,2,1,1,1,
62,5,0,0.25,2,1,0,1,
64,5,0.375,0.125,2,1,1,2,
62,5,0.5,0.25,2,1,0,2,
64,5,0.875,0.125,2,1,1,1,
66,5,1,0.25,2,1,2,1,
69,5,1.375,0.125,3,1,0,2,
71,5,1.5,0.25,3,1,1,2,
69,5,1.875,0.125,3,1,0,1,
74,6,0,0.25,3,1,3,1,
73,6,0.375,0.125,3,1,2,2,
76,6,0.5,0.25,3,1,4,2,
74,6,0.875,0.125,3,1,3,1,
73,6,1,0.25,3,1,2,1,
76,6,1.375,0.125,3,1,4,2,
74,6,1.5,0.25,3,1,3,2,
71,6,1.875,0.125,3,1,1,1,
69,7,0,0.25,3,1,0,1,
69,7,0.375,0.125,3,1,0,2,
74,7,0.5,0.25,3,1,3,2,
62,7,0.875,0.125,2,1,0,1,
64,7,1,0.5,2,1,1,1,
69,7,1.5,0.5,2,1,4,2,
62,8,0,1.5,2,1,0,1,
66,9,0,0.5,2,1,2,1,
78,9,0.5,0.25,3,3,3,2,
76,9,0.875,0.125,3,3,2,2,
76,9,1,0.5,3,3,2,1,
74,9,1.5,0.5,3,3,1,2,
74,10,0,0.5,3,1,3,1,
73,10,0.5,0.25,3,1,2,2,
71,10,0.875,0.125,3,1,1,2,
71,10,1,0.5,3,1,1,1,
69,10,1.5,0.5,3,1,0,2,
69,11,0,0.5,2,3,2,1,
67,11,0.5,0.25,2,3,1,2,
71,11,0.75,0.25,2,3,3,1,
69,11,1,0.5,2,3,2,2,
67,11,1.5,0.5,2,3,1,1,
66,12,0,0.25,2,1,2,2,
64,12,0.25,0.25,2,1,1,1,
62,12,0.5,1,2,1,0,2,
62,12,1.5,0.25,2,1,0,1,
64,12,1.75,0.25,2,1,1,2,
66,13,0,0.5,2,1,2,1,
78,13,0.5,0.25,3,3,3,2,
76,13,0.875,0.125,3,3,2,2,
76,13,1,0.5,3,3,2,1,
74,13,1.5,0.5,3,3,1,2,
74,14,0,0.5,3,1,3,1,
73,14,0.5,0.25,3,1,2,2,
71,14,0.875,0.125,3,1,1,2,
71,14,1,0.5,3,1,1,1,
69,14,1.5,0.5,3,1,0,2,
69,15,0,0.25,2,3,2,1,
67,15,0.25,0.25,2,3,1,1,
69,15,0.5,0.25,2,3,2,2,
71,15,0.75,0.25,2,3,3,1,
66,15,1,0.25,2,1,2,2,
64,15,1.25,0.25,2,1,1,2,
66,15,1.5,0.25,2,1,2,1,
69,15,1.75,0.0625,2,1,4,2,
67,15,1.802083,0.208333,2,1,3,2,
66,16,0,0.5,2,1,2,1,
65,16,0.5,1,2,1,2,2,
64,16,1.5,0.5,2,1,1,2,
62,17,0,0.25,2,1,0,1,
64,17,0.375,0.125,2,1,1,2,
62,17,0.5,0.25,2,1,0,2,
64,17,0.875,0.125,2,1,1,1,
66,17,1,0.25,2,1,2,1,
69,17,1.375,0.125,3,1,0,2,
71,17,1.5,0.25,3,1,1,2,
69,17,1.875,0.125,3,1,0,1,
74,18,0,0.25,3,1,3,1,
73,18,0.375,0.125,3,1,2,2,
76,18,0.5,0.25,3,1,4,2,
74,18,0.875,0.125,3,1,3,1,
73,18,1,0.25,3,1,2,1,
76,18,1.375,0.125,3,1,4,2,
74,18,1.5,0.25,3,1,3,2,
71,18,1.875,0.125,3,1,1,1,
69,19,0,0.25,3,1,0,1,
69,19,0.375,0.125,3,1,0,2,
71,19,0.5,0.25,3,1,1,2,
69,19,0.875,0.125,3,1,0,1,
74,19,1,0.25,3,1,3,1,
71,19,1.375,0.125,3,1,1,2,
69,19,1.5,0.25,3,1,0,2,
66,19,1.875,0.125,2,1,2,1,
64,20,0,2,2,1,1,1,
62,21,0,0.25,2,1,0,1,
64,21,0.375,0.125,2,1,1,2,
62,21,0.5,0.25,2,1,0,2,
64,21,0.875,0.125,2,1,1,1,
66,21,1,0.25,2,1,2,1,
69,21,1.375,0.125,3,1,0,2,
71,21,1.5,0.25,3,1,1,2,
69,21,1.875,0.125,3,1,0,1,
74,22,0,0.25,3,1,3,1,
73,22,0.375,0.125,3,1,2,2,
76,22,0.5,0.25,3,1,4,2,
74,22,0.875,0.125,3,1,3,1,
73,22,1,0.25,3,1,2,1,
