pitch,bars,start,duration,string,position,finger,bowing,harmonic
68,1,0,0.0625,2,3,1,1,
71,1,0.064583,0.9375,2,3,3,1,
73,1,1,0.125,2,3,4,2,
71,1,1.125,0.125,2,3,3,2,
70,1,1.25,0.125,2,3,2,2,
71,1,1.375,0.125,2,3,3,2,
64,1,1.5,0.125,2,1,1,2,
68,1,1.625,0.125,2,1,3,2,
71,1,1.75,0.125,3,1,1,2,
76,1,1.875,0.125,3,1,4,2,
75,2,0,0.25,3,1,3,1,
75,2,0.375,0.125,3,1,3,2,
73,2,0.5,0.25,3,1,2,2,
73,2,0.875,0.125,2,3,4,1,
71,2,1,0.25,2,3,3,1,
71,2,1.375,0.125,2,3,3,2,
70,2,1.5,0.25,2,3,2,2,
70,2,1.875,0.125,2,3,2,1,
71,3,0,1,2,3,3,1,
73,3,1,0.125,2,3,4,2,
71,3,1.125,0.125,2,3,3,2,
70,3,1.25,0.125,2,3,2,2,
71,3,1.375,0.125,2,3,3,2,
68,3,1.5,0.125,2,3,1,2,
71,3,1.625,0.125,2,3,3,2,
76,3,1.75,0.125,3,3,2,2,
80,3,1.875,0.125,3,3,4,2,
78,4,0,0.25,3,3,3,1,
78,4,0.375,0.125,3,3,3,2,
76,4,0.5,0.25,3,3,2,2,
76,4,0.875,0.125,3,3,2,1,
75,4,1,0.25,3,3,1,1,
75,4,1.375,0.125,3,1,3,2,
73,4,1.5,0.25,3,1,2,2,
73,4,1.875,0.125,3,1,2,1,
78,5,0,1,3,3,3,1,
80,5,1,0.125,3,3,4,2,
78,5,1.125,0.125,3,3,3,2,
77,5,1.25,0.125,3,3,2,2,
78,5,1.375,0.125,3,3,3,2,
75,5,1.5,0.125,3,3,1,2,
78,5,1.625,0.125,3,3,3,2,
83,5,1.75,0.125,4,3,2,2,
87,5,1.875,0.125,4,5,2,2,
85,6,0,0.25,4,5,1,1,
85,6,0.25,0.083333,4,5,1,1,
90,6,0.333333,0.083333,4,5,4,1,
85,6,0.416667,0.083333,4,5,1,1,
83,6,0.5,0.25,4,3,2,2,
83,6,0.75,0.083333,4,3,2,1,
87,6,0.833333,0.083333,4,3,4,1,
83,6,0.916667,0.083333,4,3,2,1,
82,6,1,0.25,4,3,1,2,
82,6,1.25,0.083333,4,3,1,1,
87,6,1.333333,0.083333,4,3,4,1,
82,6,1.416667,0.083333,4,3,1,1,
80,6,1.5,0.25,4,1,2,2,
80,6,1.75,0.083333,4,1,2,1,
83,6,1.833333,0.083333,4,1,4,1,
80,6,1.916667,0.083333,4,1,2,1,
78,7,0,0.0625,4,1,1,1,
90,7,0.064583,0.1875,4,5,4,1,
88,7,0.25,0.125,4,5,3,2,
