pitch,bars,start,duration,string,position,finger,bowing,harmonic
69,1,2,0.5,2,1,4,2,
67,1,2.5,0.25,2,1,3,2,
66,2,0,0.5,2,1,2,1,
69,2,0.5,0.25,2,1,4,1,
74,2,1,0.5,3,3,1,2,
78,2,1.5,0.25,3,3,3,2,
76,2,2,0.5,3,3,2,2,
74,2,2.5,0.25,3,3,1,2,
73,3,0,0.5,3,1,2,1,
76,3,0.5,0.25,3,1,4,1,
79,3,1,0.5,4,1,2,2,
83,3,1.5,0.25,4,1,4,2,
81,3,2,0.5,4,1,3,2,
79,3,2.5,0.25,4,1,2,2,
78,4,0,0.5,3,3,3,1,
81,4,0.5,0.25,3,3,1,1,
86,4,1,0.5,4,3,4,2,
85,4,1.5,0.25,4,3,3,2,
86,4,2,0.5,4,3,4,2,
83,4,2.5,0.25,4,3,2,2,
81,5,0,1.5,4,3,1,1,
82,5,1.5,0.5,4,2,2,2,
83,5,2,0.5,4,2,3,2,
81,5,2.5,0.5,4,1,3,2,
79,6,0,0.5,4,1,2,1,
81,6,0.5,0.25,4,1,3,1,
79,6,1,0.5,4,1,2,2,
78,6,1.5,0.25,4,1,1,2,
76,6,2,0.5,3,1,4,2,
74,6,2.5,0.25,3,1,3,2,
73,7,0,0.5,3,1,2,1,
74,7,0.5,0.25,3,1,3,1,
73,7,1,0.5,3,1,2,2,
71,7,1.5,0.25,3,1,1,2,
69,7,2,0.5,2,1,4,2,
67,7,2.5,0.25,2,1,3,2,
66,8,0,0.5,2,1,2,1,
69,8,0.5,0.25,3,1,0,1,
74,8,1,0.5,3,3,1,2,
78,8,1.5,0.25,3,3,3,2,
79,8,2,0.5,3,3,4,2,
76,8,2.5,0.25,3,3,2,2,
74,9,0,1,3,3,1,1,
78,9,2,0.125,4,1,1,2,
79,9,2.122917,0.125,4,1,2,2,
78,9,2.247917,0.125,4,1,1,2,
79,9,2.375,0.125,4,1,2,2,
78,9,2.497917,0.125,4,1,1,2,
79,9,2.622917,0.125,4,1,2,2,
76,9,2.75,0.125,4,1,0,2,
74,9,2.875,0.125,3,1,3,2,
73,10,0,0.5,3,1,2,1,
76,10,0.5,0.5,4,1,0,2,
79,10,1,1,4,1,2,1,
79,10,2,0.125,4,1,2,2,
81,10,2.122917,0.125,4,1,3,2,
79,10,2.247917,0.125,4,1,2,2,
81,10,2.375,0.125,4,1,3,2,
79,10,2.497917,0.125,4,1,2,2,
81,10,2.622917,0.125,4,1,3,2,
78,10,2.75,0.125,4,1,1,2,
76,10,2.875,0.125,4,1,0,2,
74,11,0,0.5,3,1,3,1,
78,11,0.5,0.5,4,1,1,2,
81,11,1,1,4,1,3,1,
81,11,2,0.125,4,1,3,2,
83,11,2.122917,0.125,4,1,4,2,
81,11,2.247917,0.125,4,1,3,2,
83,11,2.375,0.125,4,1,4,2,
81,11,2.497917,0.125,4,1,3,2,
83,11,2.622917,0.125,4,1,4,2,
79,11,2.75,0.125,4,1,2,2,
78,11,2.875,0.125,4,1,1,2,
76,12,0,0.5,4,1,0,1,
79,12,0.5,0.5,4,1,2,2,
83,12,1,1,4,1,4,1,
57,12,2,1,1,1,1,2,
64,12,2,1,2,1,1,2,
73,12,2,1,3,1,2,2,
74,13,0,1,3,1,3,1,
78,13,2,0.5,4,1,1,2,
80,13,2.5,0.5,4,1,2,2,
81,14,0,0.5,4,1,3,1,
80,14,0.5,0.5,4,1,2,1,
81,14,1,0.5,4,1,3,1,
80,14,1.5,0.5,4,1,2,1,
81,14,2,0.5,4,1,3,1,
80,14,2.5,0.5,4,1,2,1,
81,15,0,0.5,4,3,1,2,
85,15,0.5,0.5,4,3,3,2,
83,15,1,0.5,4,3,2,2,
81,15,1.5,0.5,4,3,1,2,
