pitch,bars,start,duration,string,position,finger,bowing,harmonic
80,1,0,2,3,4,3,1,
78,1,2,0.125,3,4,2,2,
80,1,2.122917,0.125,3,4,3,2,
78,1,2.247917,0.125,3,4,2,2,
80,1,2.375,0.125,3,4,3,2,
78,1,2.497917,0.125,3,4,2,2,
80,1,2.622917,0.125,3,4,3,2,
78,1,2.75,0.125,3,4,2,2,
80,1,2.872917,0.125,3,4,3,2,
78,1,2.997917,0.125,3,4,2,2,
80,1,3.125,0.125,3,4,3,2,
78,1,3.247917,0.125,3,4,2,2,
80,1,3.372917,0.125,3,4,3,2,
76,1,3.5,0.25,3,4,1,2,
78,1,3.75,0.25,3,4,2,2,
80,2,0,2,3,4,3,1,
73,2,2,2,3,2,1,1,
85,3,0,2.75,4,3,3,2,
83,3,2.75,0.25,4,3,2,1,
85,3,3,0.333333,4,3,3,1,
83,3,3.333333,0.333333,4,3,2,1,
81,3,3.666667,0.333333,4,3,1,1,
81,4,0,2,4,3,1,2,
80,5,0,2,3,3,4,1,
75,5,2,2,3,3,1,1,
76,6,0,2,3,3,2,2,
78,6,2,1,3,3,3,2,
73,6,3,0.75,3,2,1,2,
73,6,3.75,0.25,3,2,1,1,
75,7,0,0.125,3,2,2,1,
76,7,0.122917,0.125,3,2,3,1,
75,7,0.247917,0.125,3,2,2,1,
76,7,0.375,0.125,3,2,3,1,
75,7,0.497917,0.125,3,2,2,1,
76,7,0.622917,0.125,3,2,3,1,
75,7,0.75,0.125,3,2,2,1,
76,7,0.872917,0.125,3,2,3,1,
75,7,0.997917,0.125,3,2,2,1,
76,7,1.125,0.125,3,2,3,1,
75,7,1.247917,0.125,3,2,2,1,
76,7,1.372917,0.125,3,2,3,1,
75,7,1.5,0.125,3,2,2,1,
76,7,1.622917,0.125,3,2,3,1,
75,7,1.747917,0.125,3,2,2,1,
76,7,1.875,0.125,3,2,3,1,
75,7,1.997917,0.125,3,2,2,1,
76,7,2.122917,0.125,3,2,3,1,
75,7,2.25,0.125,3,2,2,1,
76,7,2.372917,0.125,3,2,3,1,
75,7,2.497917,0.125,3,2,2,1,
76,7,2.625,0.125,3,2,3,11,
75,7,2.747917,0.125,3,2,2,1,
76,7,2.872917,0.125,3,2,3,1,
75,7,3,0.5,3,2,2,1,
73,7,3.5,0.5,3,2,1,1,
75,8,0,2,3,2,2,2,
68,8,3,1,2,3,1,2,
80,9,0,2,3,4,3,1,
78,9,2,0.125,3,4,2,2,
80,9,2.122917,0.125,3,4,3,2,
78,9,2.247917,0.125,3,4,2,2,
80,9,2.375,0.125,3,4,3,2,
78,9,2.497917,0.125,3,4,2,2,
80,9,2.622917,0.125,3,4,3,2,
78,9,2.75,0.125,3,4,2,2,
80,9,2.872917,0.125,3,4,3,2,
78,9,2.997917,0.125,3,4,2,2,
80,9,3.125,0.125,3,4,3,2,
78,9,3.247917,0.125,3,4,2,2,
80,9,3.372917,0.125,3,4,3,2,
76,9,3.5,0.125,3,4,1,2,
78,9,3.625,0.125,3,4,2,2,
80,9,3.75,0.125,3,4,3,2,
81,9,3.875,0.125,3,4,4,2,
80,10,0,2,3,4,3,1,
73,10,2,1,3,2,1,1,
73,10,3,1,3,2,1,2,
85,11,0,0.333333,4,3,3,2,
86,11,0.333333,0.333333,4,3,4,1,
83,11,0.666667,0.333333,4,3,2,1,
81,11,1,0.333333,4,3,1,1,
80,11,1.333333,0.333333,3,3,4,1,
78,11,1.666667,0.333333,3,3,3,1,
77,11,2,0.25,3,3,2,2,
74,11,2.25,0.25,3,3,1,1,
73,11,2.5,0.166667,3,1,2,2,
71,11,2.666667,0.166667,3,1,1,2,
69,11,2.833333,0.166667,3,1,0,2,
68,11,3,0.166667,2,1,3,2,
66,11,3.166667,0.166667,2,1,2,2,
65,11,3.333333,0.166667,2,1,1,2,
62,11,3.5,0.166667,2,1,0,2,
61,11,3.666667,0.166667,1,1,3,2,
59,11,3.833333,0.166667,1,1,2,2,
57,12,0,2,1,1,1,1,
57,12,3,1,1,1,1,2,
62,13,0,2,1,3,2,1,
74,13,2,1.5,2,5,3,2,
73,13,3.5,0.5,2,4,3,2,
72,14,0,0.125,2,4,2,1,
73,14,0.125,0.125,2,4,3,1,
72,14,0.25,0.125,2,4,2,1,
