pitch,bars,start,duration,string,position,finger,bowing,harmonic
64,1,0,1,1,3,3,1,
59,1,1,1,1,1,2,2,
64,1,2,1,2,1,1,1,
71,1,3,1,3,1,1,2,
76,2,0,1,3,1,4,1,
71,2,1,1,3,1,1,2,
76,2,2,1,4,1,0,1,
83,2,3,1,4,3,2,2,
88,3,0,1,4,4,4,1,
76,3,1,1,4,1,0,2,
83,3,2,1,4,3,2,1,
71,3,3,1,3,1,1,2,
76,4,0,1,3,1,4,1,
64,4,1,1,2,1,1,2,
71,4,2,1,2,2,4,1,
59,4,3,1,1,2,1,2,
88,5,0,1,4,4,4,1,
76,5,1,1,4,1,0,2,
83,5,2,1,4,3,2,1,
71,5,3,1,3,1,1,2,
76,6,0,1,3,1,4,1,
64,6,1,1,2,1,1,2,
71,6,2,1,2,2,4,1,
59,6,3,1,1,2,1,2,
84,7,0,1,4,3,3,1,
76,7,1,1,3,3,2,2,
79,7,2,1,3,3,4,1,
72,7,3,1,3,2,1,2,
78,8,0,1,3,2,4,1,
69,8,1,1,3,1,0,2,
72,8,2,1,3,1,2,1,
62,8,3,1,2,1,0,2,
83,9,0,1,4,3,2,1,
74,9,1,1,3,3,1,2,
78,9,2,1,3,3,3,1,
71,9,3,1,3,1,1,2,
76,10,0,1,3,3,2,1,
67,10,1,1,2,3,1,2,
71,10,2,1,2,3,3,1,
60,10,3,1,1,3,1,2,
81,11,0,1,4,1,3,1,
72,11,1,1,3,1,2,2,
76,11,2,1,3,1,4,1,
69,11,3,1,3,1,0,2,
71,12,0,1,3,1,1,1,
78,12,1,1,3,3,3,2,
79,12,2,1,3,3,4,1,
76,12,3,1,3,3,2,2,
76,13,0,0.145833,3,3,2,1,
78,13,0.129167,0.145833,3,3,3,1,
76,13,0.258333,0.75,3,3,2,1,
75,13,1,1,3,3,1,2,
76,13,2,1,3,3,2,1,
78,13,3,1,3,3,3,2,
71,14,0,1,3,3,1,1,
83,14,1,1,4,3,2,2,
88,14,2,1,4,5,3,1,
86,14,3,1,4,5,2,2,
84,15,0,1,4,5,1,1,
86,15,1,1,4,5,2,2,
88,15,2,1,4,7,1,1,
91,15,3,1,4,7,3,2,
90,16,0,1,4,6,3,1,
88,16,1,1,4,6,2,2,
86,16,2,1,4,6,1,1,
81,16,3,1,4,3,1,2,
83,17,0,1,4,3,2,1,
86,17,1,1,4,3,4,2,
79,17,2,1,4,1,2,1,
78,17,3,1,4,1,1,2,
76,18,0,1,4,1,0,1,
79,18,1,1,4,1,2,2,
72,18,2,1,3,1,2,1,
71,18,3,1,3,1,1,2,
70,19,0,1,3,1,1,1,
73,19,1,1,3,1,2,2,
78,19,2,1,4,1,1,1,
85,19,3,1,4,3,3,2,
87,20,0,1,4,3,4,1,
83,20,1,1,4,3,2,2,
88,20,2,1,4,4,4,1,
76,20,3,1,4,1,0,2,
84,21,0,1,4,3,3,1,
69,21,1,1,3,1,0,2,
81,21,2,1,4,3,1,1,
88,21,3,1,4,7,1,2,
95,22,0,1,4,9,3,1,
76,22,1,1,4,1,0,2,
83,22,2,1,4,3,2,1,
59,22,3,1,1,1,2,2,
64,23,0,1.25,1,3,3,1,
59,23,1.25,0.25,1,1,2,1,
64,23,1.5,0.25,2,1,1,2,
66,23,1.75,0.25,2,1,2,1,
67,23,2,0.25,2,1,3,2,
64,23,2.25,0.25,2,1,1,1,
67,23,2.5,0.25,2,1,3,2,
69,23,2.75,0.25,3,1,0,1,
71,24,0,0.25,3,1,1,2,
67,24,0.25,0.25,2,1,3,1,
71,24,0.5,0.25,3,1,1,2,
75,24,0.75,0.25,3,1,3,1,
76,24,1,0.25,3,1,4,2,
71,24,1.25,0.25,3,1,1,1,
76,24,1.5,0.25,4,1,0,2,
78,24,1.75,0.25,4,1,1,1,
79,24,2,0.25,4,1,2,2,
76,24,2.25,0.25,4,1,0,1,
79,24,2.5,0.25,4,1,2,2,
81,24,2.75,0.25,4,1,3,2,
83,25,0,1.25,4,1,4,1,
80,25,1.25,0.25,4,1,2,2,
77,25,1.5,0.25,4,1,1,2,
76,25,1.75,0.25,4,1,0,2,
74,25,2,0.25,3,1,3,1,
77,25,2.25,0.25,3,1,4,2,
74,25,2.5,0.25,3,1,3,1,
72,25,2.75,0.25,3,1,2,2,
71,26,0,0.25,3,1,1,1,
74,26,0.25,0.25,3,1,3,2,
71,26,0.5,0.25,3,1,1,1,
69,26,0.75,0.25,3,1,0,2,
68,26,1,0.25,2,1,3,1,
71,26,1.25,0.25,2,1,4,1,
68,26,1.5,0.25,2,1,3,1,
65,26,1.75,0.25,2,1,2,2,
64,26,2,0.25,2,1,1,2,
65,26,2.25,0.25,2,1,2,2,
64,26,2.5,0.25,2,1,1,2,
62,26,2.75,0.25,2,1,0,2,
60,27,0,1.25,1,1,3,1,
57,27,1.25,0.25,1,1,1,1,
60,27,1.5,0.25,1,1,3,2,
64,27,1.75,0.25,2,1,1,1,
