pitch,bars,start,duration,string,position,finger,bowing,harmonic
69,1,0,0.333333,2,3,2,1,
70,1,0.333333,0.333333,2,3,3,1,
69,1,0.666667,0.333333,2,3,2,1,
74,1,1,1.5,3,3,1,2,
69,1,2.5,0.5,2,3,2,2,
67,2,0,0.333333,2,3,1,1,
69,2,0.333333,0.333333,2,3,2,1,
67,2,0.666667,0.333333,2,3,1,1,
74,2,1,1.5,2,4,4,2,1
67,2,2.5,0.5,2,3,1,2,
69,3,0,1.5,2,3,2,1,
67,3,1.5,0.5,2,1,3,1,
67,3,2,0.333333,2,1,3,2,
65,3,2.333333,0.333333,2,1,2,1,
64,3,2.666667,0.333333,2,1,1,1,
65,4,0,2,2,1,2,2,
81,5,0,1.5,3,4,4,1,1
79,5,1.5,0.5,3,3,4,2,
79,5,2,0.333333,3,3,4,1,
77,5,2.333333,0.333333,3,3,3,2,
76,5,2.666667,0.333333,3,3,2,2,
77,6,0,2,3,3,3,1,
69,7,0,0.333333,2,3,2,1,
70,7,0.333333,0.333333,2,3,3,1,
69,7,0.666667,0.333333,2,3,2,1,
77,7,1,1.5,3,3,3,2,
69,7,2.5,0.5,2,3,2,2,
67,8,0,0.333333,2,3,1,1,
69,8,0.333333,0.333333,2,3,2,1,
67,8,0.666667,0.333333,2,3,1,1,
76,8,1,1.5,3,3,2,2,
74,8,2.5,0.5,3,2,2,2,
72,9,0,1.5,3,2,1,1,
70,9,1.5,0.5,2,2,4,2,
70,9,2,0.333333,2,2,4,1,
69,9,2.333333,0.333333,2,2,3,2,
67,9,2.666667,0.333333,2,2,2,1,
69,10,0,2,2,2,3,2,
74,10,2.5,0.5,2,4,4,2,1
72,11,0,1.5,2,3,4,1,
70,11,1.5,0.5,2,3,3,1,
70,11,2,0.333333,2,3,3,2,
69,11,2.333333,0.333333,2,3,2,1,
67,11,2.666667,0.333333,2,3,1,1,
69,12,0,2,2,3,2,2,
69,13,0,0.75,2,2,3,1,
73,13,0.75,0.25,3,2,1,1,
77,13,1,1.5,3,2,4,2,
76,13,2.5,0.5,3,2,3,1,
74,14,0,0.75,3,2,2,2,
69,14,0.75,0.25,2,2,3,2,
65,14,1,1.5,2,2,1,1,
62,14,2.5,0.5,2,1,0,2,
70,15,0,0.083333,2,3,3,1,
72,15,0.075,0.083333,2,3,4,1,
70,15,0.15,0.1875,2,3,3,1,
69,15,0.333333,0.333333,2,3,2,1,
70,15,0.666667,0.333333,2,3,3,1,
74,15,1,1.5,3,3,1,2,
70,15,2.5,0.5,2,3,3,2,
69,16,0,2,2,3,2,1,
67,17,0,0.333333,2,2,2,2,
66,17,0.333333,0.333333,2,2,1,2,
67,17,0.666667,0.333333,2,2,2,2,
70,17,1,1.5,2,2,4,1,
67,17,2.5,0.5,2,2,2,1,
65,18,0,2,2,2,1,2,
69,19,0,0.75,3,1,0,1,
