pitch,bars,start,duration,string,position,finger,bowing,harmonic
63,1,0,1,1,3,3,1,
62,1,1,0.5,1,3,2,2,
60,1,1.5,0.5,1,3,1,2,
63,1,2,1,1,3,3,1,
62,1,3,0.0625,1,3,2,2,
63,1,3.064583,0.0625,1,3,3,2,
62,1,3.129167,0.375,1,3,2,2,
60,1,3.5,0.5,1,3,1,2,
63,2,0,0.5,1,5,1,1,
68,2,0.5,1,1,6,3,1,
56,2,1.5,0.5,1,1,1,1,
56,2,2,1.5,1,1,1,2,
62,3,0,1,1,2,3,1,
60,3,1,0.5,1,2,2,2,
58,3,1.5,0.5,1,2,1,2,
62,3,2,1,1,2,3,1,
60,3,3,0.0625,1,2,2,2,
62,3,3.064583,0.0625,1,2,3,2,
60,3,3.129167,0.375,1,2,2,2,
58,3,3.5,0.5,1,2,1,2,
62,4,0,0.5,1,4,1,1,
67,4,0.5,1,1,5,3,1,
55,4,1.5,0.5,1,1,0,1,
55,4,2,1.5,1,1,0,2,
60,5,0,1,1,3,1,1,
60,5,1,1,1,3,1,2,
62,5,2,0.5,1,3,2,1,
63,5,2.5,0.5,1,5,1,1,
65,5,3,0.5,1,5,2,2,
67,5,3.5,0.5,1,6,2,2,
68,6,0,1.5,1,6,3,1,
62,6,1.5,0.5,1,3,2,1,
62,6,2,1.5,1,3,2,2,
63,7,0,1,1,3,3,1,
63,7,1,0.5,1,3,3,2,
63,7,1.5,0.5,1,3,3,1,
62,7,2,1,1,2,3,2,
60,7,3,1,1,1,3,2,
58,8,0,3,1,1,2,1,
75,11,0,1,3,2,3,1,
74,11,1,0.0625,3,2,2,2,
75,11,1.064583,0.0625,3,2,3,2,
74,11,1.129167,0.375,3,2,2,2,
72,11,1.5,0.5,3,2,1,2,
75,11,2,1,3,2,3,1,
74,11,3,0.0625,3,2,2,2,
75,11,3.064583,0.0625,3,2,3,2,
74,11,3.129167,0.375,3,2,2,2,
72,11,3.5,0.5,3,2,1,2,
75,12,0,0.25,3,4,1,1,
77,12,0.25,0.125,3,4,2,2,
79,12,0.375,0.125,3,4,3,2,
80,12,0.5,1,3,5,3,1,
68,12,1.5,0.5,3,3,2,1,
68,12,2,1.5,3,3,2,2,
74,13,0,1,2,5,3,1,
72,13,1,0.0625,2,5,2,2,
74,13,1.064583,0.0625,2,5,3,2,
72,13,1.129167,0.375,2,5,2,2,
70,13,1.5,0.5,2,5,1,2,
74,13,2,1,2,5,3,1,
72,13,3,0.0625,2,5,2,2,
74,13,3.064583,0.0625,2,5,3,2,
72,13,3.129167,0.375,2,5,2,2,
70,13,3.5,0.5,2,4,2,2,
74,14,0,0.25,2,4,4,1,
75,14,0.25,0.125,3,4,1,2,
77,14,0.375,0.125,3,4,2,2,
79,14,0.5,1,3,4,3,1,
67,14,1.5,0.5,2,2,2,1,
67,14,2,1.5,2,2,2,2,
72,15,0,1,3,2,1,1,
72,15,1,1,3,2,1,2,
74,15,2,0.5,3,2,2,1,
75,15,2.5,0.5,3,4,1,1,
77,15,3,0.5,3,4,2,2,
79,15,3.5,0.5,3,5,2,2,
80,16,0,2,3,5,3,1,
79,16,2,1,3,4,3,2,
77,16,3,1,3,4,2,2,
76,17,0,2,3,4,1,1,
79,17,2,1,3,4,3,2,
77,17,3,0.0625,3,4,2,2,
79,17,3.064583,0.0625,3,4,3,2,
77,17,3.129167,0.375,3,4,2,2,
75,17,3.5,0.5,3,3,2,2,
74,18,0,2,3,3,1,1,
77,18,2,0.5,3,3,3,2,
74,18,2.5,0.5,3,1,3,2,
72,18,3,0.0625,3,1,2,1,
74,18,3.064583,0.0625,3,1,3,1,
72,18,3.129167,0.375,3,1,2,1,
68,18,3.5,0.5,2,1,4,1,
67,19,0,0.1875,2,3,1,2,
68,19,0.1875,0.1875,2,3,2,1,
70,19,0.375,2,2,3,3,2,
87,22,0,1,4,5,3,1,
86,22,1,0.0625,4,5,2,2,
87,22,1.064583,0.0625,4,5,3,2,
86,22,1.129167,0.375,4,5,2,2,
84,22,1.5,0.5,4,5,1,2,
87,22,2,1,4,5,3,1,
86,22,3,0.0625,4,5,2,2,
87,22,3.064583,0.0625,4,5,3,2,
86,22,3.129167,0.375,4,5,2,2,
84,22,3.5,0.5,4,5,1,2,
87,23,0,0.25,4,7,1,1,
89,23,0.25,0.125,4,7,2,1,
87,23,0.375,0.125,4,7,1,1,
96,23,0.5,1,4,10,3,2,
84,23,1.5,0.5,4,5,1,2,
84,23,2,1.5,4,5,1,1,
86,24,0,1,4,5,2,2,
84,24,1,0.0625,4,5,1,1,
86,24,1.064583,0.0625,4,5,2,1,
84,24,1.129167,0.375,4,5,1,1,
82,24,1.5,0.5,4,4,1,1,
86,24,2,1,4,4,3,2,
84,24,3,0.0625,4,4,2,1,
86,24,3.064583,0.0625,4,4,3,1,
84,24,3.129167,0.375,4,4,2,1,
82,24,3.5,0.5,4,4,1,1,
86,25,0,0.25,4,6,1,2,
87,25,0.25,0.125,4,6,2,1,
86,25,0.375,0.125,4,6,1,1,
94,25,0.5,1,4,9,3,2,
79,25,1.5,0.5,4,2,1,2,
79,25,2,1.5,4,2,1,1,
72,26,0,1,3,2,1,1,
72,26,1,1,3,2,1,2,
74,26,2,0.5,3,2,2,1,
75,26,2.5,0.5,3,4,1,1,
77,26,3,0.5,3,4,2,2,
79,26,3.5,0.5,3,5,2,2,
80,27,0,2,3,5,3,1,
79,27,2,1,3,4,3,2,
77,27,3,1,3,3,3,2,
76,28,0,2,3,3,2,1,
79,28,2,1,3,3,4,2,
77,28,3,0.0625,3,3,3,1,
79,28,3.064583,0.0625,3,3,4,1,
77,28,3.129167,0.375,3,3,3,1,
75,28,3.5,0.5,3,3,2,1,
74,29,0,2,3,3,1,2,
77,29,2,0.5,3,3,3,1,
74,29,2.5,0.5,3,1,3,1,
72,29,3,0.0625,3,1,2,2,
74,29,3.064583,0.0625,3,1,3,2,
72,29,3.129167,0.375,3,1,2,2,
68,29,3.5,0.5,2,1,4,1,
67,30,0,0.1875,2,3,1,2,
68,30,0.1875,0.1875,2,3,2,1,
70,30,0.375,2,2,3,3,2,
63,31,0,1,1,3,3,1,
62,31,1,0.0625,1,3,2,2,
63,31,1.064583,0.0625,1,3,3,2,
62,31,1.129167,0.375,1,3,2,2,
60,31,1.5,0.5,1,3,1,2,
62,31,2,1,1,3,2,1,
60,31,3,0.0625,1,3,1,2,
62,31,3.064583,0.0625,1,3,2,2,
60,31,3.129167,0.375,1,3,1,2,
58,31,3.5,0.25,1,1,2,2,
56,31,3.75,0.25,1,1,1,2,
55,32,0,0.1875,1,1,0,1,
56,32,0.1875,0.1875,1,1,1,1,
58,32,0.375,2,1,1,2,1,
