pitch,bars,start,duration,string,position,finger,bowing,harmonic
62,1,2,1,2,1,0,2,
67,2,0,1.5,2,3,1,1,
69,2,1.5,0.5,2,3,2,2,
70,2,2,0.5,2,5,1,2,
72,2,2.5,0.5,2,5,2,2,
74,3,0,1,2,5,3,1,
74,3,1,1,2,5,3,2,
74,3,2,1,2,5,3,2,
74,4,0,0.125,2,6,2,1,
75,4,0.122917,0.125,2,6,3,1,
74,4,0.25,0.125,2,6,2,1,
75,4,0.372917,0.125,2,6,3,1,
74,4,0.5,0.125,2,6,2,1,
75,4,0.622917,0.125,2,6,3,1,
74,4,0.75,0.125,2,6,2,1,
75,4,0.872917,0.125,2,6,3,1,
74,4,1,0.125,2,6,2,1,
75,4,1.122917,0.125,2,6,3,1,
74,4,1.25,0.125,2,6,2,1,
75,4,1.372917,0.125,2,6,3,1,
74,4,1.5,0.125,2,6,2,1,
75,4,1.622917,0.125,2,6,3,1,
74,4,1.75,0.125,2,6,2,1,
75,4,1.872917,0.125,2,6,3,1,
74,4,2,0.104167,2,6,2,1,
75,4,2.1,0.104167,2,6,3,1,
74,4,2.2,0.104167,2,6,2,1,
73,4,2.3,0.104167,2,6,1,1,
74,4,2.4,0.104167,2,6,2,1,
77,4,2.5,0.25,2,6,4,1,
75,4,2.75,0.25,2,6,3,1,
74,5,0,2,2,6,2,2,
62,5,2,1,2,1,0,2,
67,6,0,1.5,2,3,1,1,
69,6,1.5,0.5,2,3,2,2,
70,6,2,0.5,2,4,2,2,
72,6,2.5,0.5,2,4,3,2,
74,7,0,1,2,4,4,1,
74,7,1,1,2,4,4,2,
74,7,2,1,2,4,4,2,
72,8,0,0.25,2,4,3,1,
70,8,0.25,0.25,2,4,2,1,
69,8,0.5,1.5,2,4,1,1,
70,8,2,0.25,2,3,3,2,
69,8,2.25,0.25,2,3,2,2,
67,8,2.5,0.5,2,3,1,2,
66,9,0,0.25,1,3,4,1,
63,9,0.25,0.25,1,3,3,1,
62,9,0.5,1.5,1,3,2,1,
62,9,2,1,2,1,0,2,
67,10,0,1.5,2,3,1,1,
69,10,1.5,0.5,2,3,2,2,
70,10,2,0.5,2,4,2,2,
72,10,2.5,0.5,2,4,3,2,
74,11,0,1,2,4,4,1,1
74,11,1,1,3,3,1,2,
74,11,2,1,3,3,1,2,
74,12,0,0.125,3,2,2,1,
75,12,0.122917,0.125,3,2,3,1,
74,12,0.25,0.125,3,2,2,1,
75,12,0.372917,0.125,3,2,3,1,
74,12,0.5,0.125,3,2,2,1,
75,12,0.622917,0.125,3,2,3,1,
74,12,0.75,0.125,3,2,2,1,
75,12,0.872917,0.125,3,2,3,1,
74,12,1,0.125,3,2,2,1,
75,12,1.122917,0.125,3,2,3,1,
74,12,1.25,0.125,3,2,2,1,
75,12,1.372917,0.125,3,2,3,1,
74,12,1.5,0.125,3,2,2,1,
75,12,1.622917,0.125,3,2,3,1,
