pitch,bars,start,duration,string,position,finger,bowing,harmonic
79,1,0,1,3,3,4,1,
78,1,1,1,3,3,3,1,
71,1,2,1,3,1,1,1,
76,1,3,1,3,3,2,2,
74,1,4,1,3,3,1,2,
67,1,5,1,2,3,1,2,
69,2,0,2.5,2,3,2,1,
71,2,2.5,0.5,2,3,3,1,
72,2,3,2,2,3,4,2,
64,3,0,2,2,1,1,1,
66,3,2,0.5,2,1,2,2,
67,3,2.5,0.5,2,1,3,1,
69,3,3,0.5,2,1,4,2,
71,3,3.5,0.5,3,1,1,1,
72,3,4,0.5,3,1,2,2,
74,3,4.5,0.5,3,3,1,1,
76,3,5,0.5,3,3,2,2,
78,3,5.5,0.5,3,3,3,1,
83,4,0,3.5,4,3,2,2,
79,5,0,1,3,3,4,1,
78,5,1,1,3,3,3,1,
71,5,2,1,3,1,1,1,
76,5,3,1,3,3,2,2,
74,5,4,1,3,3,1,2,
67,5,5,1,2,3,1,2,
70,6,0,2.5,2,3,2,1,
71,6,2.5,0.5,2,3,3,1,
73,6,3,2,2,3,4,2,
66,7,0,1.5,2,1,2,1,
68,7,1.5,0.5,2,1,3,1,
70,7,2,0.5,2,1,4,2,
71,7,2.5,0.5,3,1,1,1,
73,7,3,0.5,3,1,2,2,
74,7,3.5,0.5,3,3,1,1,
76,7,4,0.5,3,3,2,2,
78,7,4.5,0.5,3,3,3,1,
80,7,5,0.5,3,3,4,2,
82,7,5.5,0.5,4,3,1,1,
86,8,0,3.5,4,4,3,2,
86,9,0,1,4,3,4,1,
83,9,1,1,4,3,2,1,
79,9,2,1,3,3,4,1,
76,9,3,1,3,3,2,2,
78,9,4,1,3,3,3,2,
79,9,5,1,3,3,4,2,
74,10,0,2.5,3,3,1,1,
76,10,2.5,0.5,3,3,2,1,
78,10,3,2,3,3,3,2,
84,11,0,1,4,3,3,1,
81,11,1,1,4,3,1,1,
77,11,2,1,4,3,3,1,
74,11,3,1,3,3,1,2,
76,11,4,1,3,3,2,2,
77,11,5,1,3,3,3,2,
72,12,0,2.5,3,1,2,1,
74,12,2.5,0.5,3,1,3,1,
76,12,3,2,3,1,4,2,
76,13,0,1,3,3,2,1,
69,13,1,1,3,1,0,1,
71,13,2,1,3,1,1,1,
72,13,3,2,3,1,2,2,
74,13,5,0.5,3,3,1,1,
76,13,5.5,0.5,3,3,2,2,
78,14,0,3,3,3,3,1,
76,14,3,2,3,3,2,1,
76,15,0,1,3,3,2,1,
69,15,1,1,3,1,0,1,
71,15,2,1,3,1,1,1,
73,15,3,2,3,1,2,2,
74,15,5,0.5,3,3,1,1,
76,15,5.5,0.5,3,3,2,2,
77,16,0,3,3,3,3,1,
78,16,3,3,3,3,3,1,
79,17,0,1,3,3,4,2,
78,17,1,1,3,3,3,2,
71,17,2,1,3,1,1,2,
76,17,3,1,3,3,2,1,
74,17,4,1,3,3,1,1,
67,17,5,1,2,3,1,1,
69,18,0,2.5,2,3,2,2,
71,18,2.5,0.5,2,3,3,2,
72,18,3,2,2,3,4,1,
64,19,0,2,2,1,1,1,
66,19,2,0.5,2,1,2,2,
67,19,2.5,0.5,2,1,3,1,
69,19,3,0.5,2,1,4,2,
71,19,3.5,0.5,3,1,1,1,
72,19,4,0.5,3,1,2,2,
74,19,4.5,0.5,3,3,1,1,
76,19,5,0.5,3,3,2,2,
78,19,5.5,0.5,3,3,3,1,
83,20,0,6,4,3,2,2,
83,21,0,1,4,3,2,1,
81,21,1,1,4,3,1,1,
76,21,2,1,3,3,2,1,
79,21,3,1,3,3,4,2,
78,21,4,1,3,3,3,2,
72,21,5,1,3,1,2,2,
76,22,0,1,3,3,2,1,
74,22,1,1,3,3,1,1,
67,22,2,1,2,3,1,1,
69,22,3,1,2,3,2,2,
71,22,4,1,2,3,3,2,
67,22,5,1,2,3,1,2,
71,23,0,3,2,5,1,1,
72,23,3,1,2,5,2,2,
74,23,4,1,2,5,3,2,
71,23,5,1,2,3,3,2,
76,24,0,3,3,3,2,1,
76,24,3,1,3,3,2,2,
78,24,4,1,3,3,3,2,
74,24,5,1,3,3,1,2,
79,26,0,9.5,3,4,3,1,
