pitch,bars,start,duration,string,position,finger,bowing,harmonic
79,1,1.5,0.25,3,4,3,2,
78,1,1.75,0.25,3,4,2,2,
79,1,2,1.5,3,4,3,2,
76,1,3.5,0.25,3,4,1,1,
78,1,3.75,0.25,3,4,2,1,
79,2,0,0.5,3,4,3,1,
78,2,0.5,0.25,3,3,3,1,
76,2,0.75,0.25,3,3,2,1,
78,2,1,0.5,3,3,3,1,
74,2,1.5,0.25,3,3,1,1,
76,2,1.75,0.25,3,3,2,1,
78,3,0,2.5,3,3,3,2,
76,3,2.5,0.25,3,3,2,1,
74,3,2.75,0.25,3,3,1,1,
76,3,3,0.5,3,3,2,1,
72,3,3.5,0.25,3,2,1,1,
74,3,3.75,0.25,3,2,2,1,
76,4,0,2.5,3,2,3,2,
74,4,2.5,0.25,3,1,3,1,
72,4,2.75,0.25,3,1,2,1,
71,4,3,0.75,3,1,1,1,
69,4,3.75,0.25,3,1,0,1,
71,5,0,0.75,3,1,1,2,
72,5,0.75,0.25,3,1,2,2,
71,5,1,1.25,3,1,1,1,
72,5,2.25,0.25,3,1,2,2,
76,5,2.5,0.25,3,4,1,2,
79,5,2.75,0.25,3,5,2,2,
81,5,3,0.75,3,5,3,1,
83,5,3.75,0.25,3,5,4,1,
79,6,0,1.5,3,5,2,2,
77,6,1.5,0.5,3,3,3,2,
76,6,2,1,3,2,3,1,
75,6,3,0.0625,3,2,2,1,
76,6,3.060417,0.0625,3,2,3,1,
75,6,3.125,0.0625,3,2,2,1,
76,6,3.185417,0.0625,3,2,3,1,
75,6,3.25,0.0625,3,2,2,1,
76,6,3.310417,0.0625,3,2,3,1,
75,6,3.375,0.0625,3,2,2,1,
76,6,3.435417,0.0625,3,2,3,1,
75,6,3.5,0.0625,3,2,2,1,
76,6,3.560417,0.0625,3,2,3,1,
75,6,3.625,0.0625,3,2,2,1,
76,6,3.685417,0.0625,3,2,3,1,
75,6,3.75,0.0625,3,2,2,1,
76,6,3.810417,0.0625,3,2,3,1,
73,6,3.875,0.0625,3,2,1,1,
75,6,3.935417,0.0625,3,2,2,1,
76,7,0,2,3,2,3,2,
76,7,2.5,1,3,2,3,1,
74,7,3.5,0.5,3,2,2,1,
73,8,0,2.5,3,2,1,2,
73,8,2.5,0.5,3,2,1,1,
74,8,3,0.5,3,2,2,1,
76,8,3.5,0.5,3,3,2,1,
76,9,0,0.5,3,3,2,2,
74,9,0.5,0.25,3,3,1,2,
76,9,0.75,0.25,3,3,2,2,
78,9,1,1.5,3,3,3,1,
71,9,2.5,0.25,3,1,1,2,
73,9,2.75,0.25,3,1,2,2,
74,9,3,0.5,3,1,3,2,
76,9,3.5,0.25,3,4,1,2,
78,9,3.75,0.25,3,4,2,2,
80,10,0,2.5,3,4,3,1,
77,10,2.5,0.5,3,4,1,2,
78,10,3,0.5,3,4,2,2,
80,10,3.5,0.5,3,5,2,2,
80,11,0,0.5,3,5,2,1,
78,11,0.5,0.25,3,5,1,1,
80,11,0.75,0.25,3,5,2,1,
81,11,1,1.5,3,5,3,2,
80,11,2.5,0.5,3,4,3,1,
78,11,3,0.5,3,4,2,1,
76,11,3.5,0.5,3,3,2,1,
78,12,0,1.5,3,3,3,2,
76,12,1.5,0.25,3,3,2,1,
75,12,1.75,0.25,3,3,1,1,
76,12,2,1.5,3,3,2,1,
71,12,3.5,0.25,3,1,1,2,
73,12,3.75,0.25,3,1,2,2,
75,13,0,0.5,3,3,1,2,
76,13,0.5,0.25,3,3,2,2,
78,13,0.75,0.25,3,3,3,2,
79,13,1,1.5,3,4,3,1,
78,13,2.5,0.5,3,3,3,2,
76,13,3,0.5,3,3,2,2,
74,13,3.5,0.5,3,3,1,2,
74,14,0,0.5,3,2,2,1,
73,14,0.5,0.25,3,2,1,1,
74,14,0.75,0.25,3,2,2,1,
76,14,1,1.5,3,2,3,2,
74,14,2.5,0.25,3,2,2,1,
73,14,2.75,0.25,3,2,1,1,
74,14,3,0.5,3,2,2,1,
69,14,3.5,0.25,3,1,0,2,
71,14,3.75,0.25,3,1,1,2,
73,15,0,0.5,3,1,2,2,
74,15,0.5,0.25,3,3,1,2,
76,15,0.75,0.25,3,3,2,2,
77,15,1,1.5,3,3,3,1,
76,15,2.5,0.5,3,2,3,2,
74,15,3,0.5,3,2,2,2,
72,15,3.5,0.5,3,2,1,2,
71,16,0,2,3,1,1,1,
70,16,2,1.5,3,1,1,2,
76,16,3.5,0.5,3,3,2,2,
78,17,0,0.75,3,3,3,1,
76,17,0.75,0.25,3,3,2,1,
